Date,RIC,Currency,Price to Earning,0
2015-03-02,BFT.WA,PLN,25.235582021,
2015-03-02,HOCM.L,GBp,,
2015-03-02,VATN.S,CHF,18.291185576,
2015-03-03,BFT.WA,PLN,24.711400792,
2015-03-03,HOCM.L,GBp,,
2015-03-03,VATN.S,CHF,17.958409929,
2015-03-04,BFT.WA,PLN,25.441510361,
2015-03-04,HOCM.L,GBp,,
2015-03-04,VATN.S,CHF,18.681336335,
2015-03-05,BFT.WA,PLN,26.059295381,
2015-03-05,HOCM.L,GBp,,
2015-03-05,VATN.S,CHF,18.933786826,
2015-03-06,BFT.WA,PLN,25.853367041,
2015-03-06,HOCM.L,GBp,,
2015-03-06,VATN.S,CHF,18.945261849,
2015-03-09,BFT.WA,PLN,24.711400792,
2015-03-09,HOCM.L,GBp,,
2015-03-09,VATN.S,CHF,19.335412607,
2015-03-10,BFT.WA,PLN,25.460231119,
2015-03-10,HOCM.L,GBp,,
2015-03-10,VATN.S,CHF,19.19771234,
2015-03-11,BFT.WA,PLN,25.448998664,
2015-03-11,HOCM.L,GBp,,
2015-03-11,VATN.S,CHF,19.392787719,
2015-03-12,BFT.WA,PLN,25.460231119,
2015-03-12,HOCM.L,GBp,,
2015-03-12,VATN.S,CHF,19.232137407,
2015-03-13,BFT.WA,PLN,25.085815955,
2015-03-13,HOCM.L,GBp,,
2015-03-13,VATN.S,CHF,19.392787719,
2015-03-16,BFT.WA,PLN,25.310465054,
2015-03-16,HOCM.L,GBp,,
2015-03-16,VATN.S,CHF,19.163287273,
2015-03-17,BFT.WA,PLN,26.021853864,
2015-03-17,HOCM.L,GBp,,
2015-03-17,VATN.S,CHF,18.830511625,
2015-03-18,BFT.WA,PLN,26.808125708,
2015-03-18,HOCM.L,GBp,,
2015-03-18,VATN.S,CHF,18.899361759,
2015-03-19,BFT.WA,PLN,24.112616402,
2015-03-19,HOCM.L,GBp,,
2015-03-19,VATN.S,CHF,18.864936692,
2015-03-20,BFT.WA,PLN,23.719475918,
2015-03-20,HOCM.L,GBp,,
2015-03-20,VATN.S,CHF,18.819036603,
2015-03-23,BFT.WA,PLN,23.205117117,
2015-03-23,HOCM.L,GBp,,
2015-03-23,VATN.S,CHF,18.922311804,
2015-03-24,BFT.WA,PLN,24.112616402,
2015-03-24,HOCM.L,GBp,,
2015-03-24,VATN.S,CHF,18.979686915,
2015-03-25,BFT.WA,PLN,23.588429089,
2015-03-25,HOCM.L,GBp,,
2015-03-25,VATN.S,CHF,18.968211893,
2015-03-26,BFT.WA,PLN,23.588429089,
2015-03-26,HOCM.L,GBp,,
2015-03-26,VATN.S,CHF,19.00263696,
2015-03-27,BFT.WA,PLN,23.509800992,
2015-03-27,HOCM.L,GBp,,
2015-03-27,VATN.S,CHF,18.945261849,
2015-03-30,BFT.WA,PLN,23.588429089,
2015-03-30,HOCM.L,GBp,,
2015-03-30,VATN.S,CHF,18.887886737,
2015-03-31,BFT.WA,PLN,23.522905675,
2015-03-31,HOCM.L,GBp,,
2015-03-31,VATN.S,CHF,18.841986648,
2015-04-01,BFT.WA,PLN,23.843970404,
2015-04-01,HOCM.L,GBp,,
2015-04-01,VATN.S,CHF,18.807561581,
2015-04-02,BFT.WA,PLN,23.850522746,
2015-04-02,HOCM.L,GBp,,
2015-04-02,VATN.S,CHF,18.991161938,
2015-04-07,BFT.WA,PLN,23.588429089,
2015-04-07,HOCM.L,GBp,,
2015-04-07,VATN.S,CHF,13.772916141,
2015-04-08,BFT.WA,PLN,22.965956655,
2015-04-08,HOCM.L,GBp,,
2015-04-08,VATN.S,CHF,14.104793639,
2015-04-09,BFT.WA,PLN,22.965956655,
2015-04-09,HOCM.L,GBp,,
2015-04-09,VATN.S,CHF,14.104793639,
2015-04-10,BFT.WA,PLN,23.784999332,
2015-04-10,HOCM.L,GBp,,
2015-04-10,VATN.S,CHF,14.171169138,
2015-04-13,BFT.WA,PLN,23.555667382,
2015-04-13,HOCM.L,GBp,,
2015-04-13,VATN.S,CHF,13.980339577,
2015-04-14,BFT.WA,PLN,23.784999332,
2015-04-14,HOCM.L,GBp,,
2015-04-14,VATN.S,CHF,14.038418139,
2015-04-15,BFT.WA,PLN,24.047092988,
2015-04-15,HOCM.L,GBp,,
2015-04-15,VATN.S,CHF,14.013527327,
2015-04-16,BFT.WA,PLN,24.230558548,
2015-04-16,HOCM.L,GBp,,
2015-04-16,VATN.S,CHF,13.922261015,
2015-04-17,BFT.WA,PLN,24.764574373,
2015-04-17,HOCM.L,GBp,,
2015-04-17,VATN.S,CHF,13.822697766,
2015-04-20,BFT.WA,PLN,25.292037857,
2015-04-20,HOCM.L,GBp,,
2015-04-20,VATN.S,CHF,13.714837579,
2015-04-21,BFT.WA,PLN,25.58689322,
2015-04-21,HOCM.L,GBp,,
2015-04-21,VATN.S,CHF,13.814400828,
2015-04-22,BFT.WA,PLN,25.226514443,
2015-04-22,HOCM.L,GBp,,
2015-04-22,VATN.S,CHF,13.947151827,
2015-04-23,BFT.WA,PLN,24.571280301,
2015-04-23,HOCM.L,GBp,,
2015-04-23,VATN.S,CHF,13.889073265,
2015-04-24,BFT.WA,PLN,25.210133589,
2015-04-24,HOCM.L,GBp,,
2015-04-24,VATN.S,CHF,13.97204264,
2015-04-27,BFT.WA,PLN,25.223238272,
2015-04-27,HOCM.L,GBp,,
2015-04-27,VATN.S,CHF,14.096496701,
2015-04-28,BFT.WA,PLN,25.3542851,
2015-04-28,HOCM.L,GBp,,
2015-04-28,VATN.S,CHF,13.90566714,
2015-04-29,BFT.WA,PLN,26.209365655,
2015-04-29,HOCM.L,GBp,,
2015-04-29,VATN.S,CHF,13.806103891,
2015-04-30,BFT.WA,PLN,24.20710133,
2015-04-30,HOCM.L,GBp,,
2015-04-30,VATN.S,CHF,13.963745702,
2015-05-01,HOCM.L,GBp,,
2015-05-04,BFT.WA,PLN,25.135910974,
2015-05-04,VATN.S,CHF,13.590383518,
2015-05-05,BFT.WA,PLN,25.420358927,
2015-05-05,HOCM.L,GBp,,
2015-05-05,VATN.S,CHF,13.540601893,
2015-05-06,BFT.WA,PLN,25.350698204,
2015-05-06,HOCM.L,GBp,,
2015-05-06,VATN.S,CHF,13.524008018,
2015-05-07,BFT.WA,PLN,25.397138686,
2015-05-07,HOCM.L,GBp,,
2015-05-07,VATN.S,CHF,13.416147832,
2015-05-08,BFT.WA,PLN,25.193961576,
2015-05-08,HOCM.L,GBp,,
2015-05-08,VATN.S,CHF,13.698243704,
2015-05-11,BFT.WA,PLN,25.04883507,
2015-05-11,HOCM.L,GBp,,
2015-05-11,VATN.S,CHF,13.731431454,
2015-05-12,BFT.WA,PLN,25.019809768,
2015-05-12,HOCM.L,GBp,,
2015-05-12,VATN.S,CHF,13.573789643,
2015-05-13,BFT.WA,PLN,25.135910974,
2015-05-13,HOCM.L,GBp,,
2015-05-13,VATN.S,CHF,13.540601893,
2015-05-14,BFT.WA,PLN,24.961759165,
2015-05-14,HOCM.L,GBp,,
2015-05-15,BFT.WA,PLN,24.958856635,
2015-05-15,HOCM.L,GBp,,
2015-05-15,VATN.S,CHF,13.781213079,
2015-05-18,BFT.WA,PLN,25.106885672,
2015-05-18,HOCM.L,GBp,,
2015-05-18,VATN.S,CHF,13.830994703,
2015-05-19,BFT.WA,PLN,25.106885672,
2015-05-19,HOCM.L,GBp,,
2015-05-19,VATN.S,CHF,13.641285901,
2015-05-20,BFT.WA,PLN,24.958856635,
2015-05-20,HOCM.L,GBp,,
2015-05-20,VATN.S,CHF,13.61704191,
2015-05-21,BFT.WA,PLN,24.671506152,
2015-05-21,HOCM.L,GBp,,
2015-05-21,VATN.S,CHF,13.544309935,
2015-05-22,BFT.WA,PLN,24.671506152,
2015-05-22,HOCM.L,GBp,,
2015-05-22,VATN.S,CHF,13.406927317,
2015-05-25,BFT.WA,PLN,24.863073141,
2015-05-26,BFT.WA,PLN,24.450913862,
2015-05-26,HOCM.L,GBp,,
2015-05-26,VATN.S,CHF,13.14024341,
2015-05-27,BFT.WA,PLN,24.958856635,
2015-05-27,HOCM.L,GBp,,
2015-05-27,VATN.S,CHF,13.253382037,
2015-05-28,BFT.WA,PLN,25.542265193,
2015-05-28,HOCM.L,GBp,,
2015-05-28,VATN.S,CHF,13.641285901,
2015-05-29,BFT.WA,PLN,26.410121703,
2015-05-29,HOCM.L,GBp,,
2015-05-29,VATN.S,CHF,13.810993842,
2015-06-01,BFT.WA,PLN,26.116966159,
2015-06-01,HOCM.L,GBp,,
2015-06-01,VATN.S,CHF,13.738261867,
2015-06-02,BFT.WA,PLN,25.606120856,
2015-06-02,HOCM.L,GBp,,
2015-06-02,VATN.S,CHF,13.94029513,
2015-06-03,BFT.WA,PLN,25.252012179,
2015-06-03,HOCM.L,GBp,,
2015-06-03,VATN.S,CHF,14.215060368,
2015-06-04,HOCM.L,GBp,,
2015-06-04,VATN.S,CHF,14.708021529,
2015-06-05,BFT.WA,PLN,25.310062782,
2015-06-05,HOCM.L,GBp,,
2015-06-05,VATN.S,CHF,14.651452215,
2015-06-08,BFT.WA,PLN,25.246207119,
2015-06-08,HOCM.L,GBp,,
2015-06-08,VATN.S,CHF,14.780753503,
2015-06-09,BFT.WA,PLN,25.252012179,
2015-06-09,HOCM.L,GBp,,
2015-06-09,VATN.S,CHF,14.837322817,
2015-06-10,BFT.WA,PLN,25.249109649,
2015-06-10,HOCM.L,GBp,,
2015-06-10,VATN.S,CHF,14.950461444,
2015-06-11,BFT.WA,PLN,24.961759165,
2015-06-11,HOCM.L,GBp,,
2015-06-11,VATN.S,CHF,14.837322817,
2015-06-12,BFT.WA,PLN,25.252012179,
2015-06-12,HOCM.L,GBp,,
2015-06-12,VATN.S,CHF,14.869648139,
2015-06-15,BFT.WA,PLN,25.397138686,
2015-06-15,HOCM.L,GBp,,
2015-06-15,VATN.S,CHF,14.869648139,
2015-06-16,BFT.WA,PLN,25.310062782,
2015-06-16,HOCM.L,GBp,,
2015-06-16,VATN.S,CHF,15.007030758,
2015-06-17,BFT.WA,PLN,25.130105913,
2015-06-17,HOCM.L,GBp,,
2015-06-17,VATN.S,CHF,15.112088054,
2015-06-18,BFT.WA,PLN,24.892098442,
2015-06-18,HOCM.L,GBp,,
2015-06-18,VATN.S,CHF,14.950461444,
2015-06-19,BFT.WA,PLN,24.729556755,
2015-06-19,HOCM.L,GBp,,
2015-06-19,VATN.S,CHF,14.982786766,
2015-06-22,BFT.WA,PLN,24.900806033,
2015-06-22,HOCM.L,GBp,,
2015-06-22,VATN.S,CHF,14.829241486,
2015-06-23,BFT.WA,PLN,24.961759165,
2015-06-23,HOCM.L,GBp,,
2015-06-23,VATN.S,CHF,14.958542774,
2015-06-24,BFT.WA,PLN,24.84565796,
2015-06-24,HOCM.L,GBp,,
2015-06-24,VATN.S,CHF,14.869648139,
2015-06-25,BFT.WA,PLN,24.775997237,
2015-06-25,HOCM.L,GBp,,
2015-06-25,VATN.S,CHF,14.869648139,
2015-06-26,BFT.WA,PLN,24.961759165,
2015-06-26,HOCM.L,GBp,,
2015-06-26,VATN.S,CHF,14.772672173,
2015-06-29,BFT.WA,PLN,24.961759165,
2015-06-29,HOCM.L,GBp,,
2015-06-29,VATN.S,CHF,14.643370885,
2015-06-30,BFT.WA,PLN,24.497354344,
2015-06-30,HOCM.L,GBp,,
2015-06-30,VATN.S,CHF,14.716102859,
2015-07-01,BFT.WA,PLN,24.20710133,
2015-07-01,HOCM.L,GBp,,
2015-07-01,VATN.S,CHF,15.031274749,
2015-07-02,BFT.WA,PLN,24.671506152,
2015-07-02,HOCM.L,GBp,,
2015-07-02,VATN.S,CHF,15.281795995,
2015-07-03,BFT.WA,PLN,24.497354344,
2015-07-03,HOCM.L,GBp,,
2015-07-03,VATN.S,CHF,15.289877325,
2015-07-06,BFT.WA,PLN,24.807925068,
2015-07-06,HOCM.L,GBp,,
2015-07-06,VATN.S,CHF,15.192901359,
2015-07-07,BFT.WA,PLN,24.671506152,
2015-07-07,HOCM.L,GBp,,
2015-07-07,VATN.S,CHF,15.225226681,
2015-07-08,BFT.WA,PLN,24.20710133,
2015-07-08,HOCM.L,GBp,,
2015-07-08,VATN.S,CHF,15.20906402,
2015-07-09,BFT.WA,PLN,24.668603622,
2015-07-09,HOCM.L,GBp,,
2015-07-09,VATN.S,CHF,15.3626093,
2015-07-10,BFT.WA,PLN,25.539362662,
2015-07-10,HOCM.L,GBp,,
2015-07-10,VATN.S,CHF,15.354527969,
2015-07-13,BFT.WA,PLN,25.536460132,
2015-07-13,HOCM.L,GBp,,
2015-07-13,VATN.S,CHF,15.354527969,
2015-07-14,BFT.WA,PLN,25.368113384,
2015-07-14,HOCM.L,GBp,,
2015-07-14,VATN.S,CHF,15.370690631,
2015-07-15,BFT.WA,PLN,24.964661696,
2015-07-15,HOCM.L,GBp,,
2015-07-15,VATN.S,CHF,15.354527969,
2015-07-16,BFT.WA,PLN,25.368113384,
2015-07-16,HOCM.L,GBp,,
2015-07-16,VATN.S,CHF,15.394934622,
2015-07-17,BFT.WA,PLN,25.426163987,
2015-07-17,HOCM.L,GBp,,
2015-07-17,VATN.S,CHF,15.394934622,
2015-07-20,BFT.WA,PLN,25.252012179,
2015-07-20,HOCM.L,GBp,,
2015-07-20,VATN.S,CHF,15.354527969,
2015-07-21,BFT.WA,PLN,24.85146302,
2015-07-21,HOCM.L,GBp,,
2015-07-21,VATN.S,CHF,15.354527969,
2015-07-22,BFT.WA,PLN,24.897903502,
2015-07-22,HOCM.L,GBp,,
2015-07-22,VATN.S,CHF,15.386853292,
2015-07-23,BFT.WA,PLN,24.439303741,
2015-07-23,HOCM.L,GBp,,
2015-07-23,VATN.S,CHF,15.580805224,
2015-07-24,BFT.WA,PLN,24.439303741,
2015-07-24,HOCM.L,GBp,,
2015-07-24,VATN.S,CHF,15.378771961,
2015-07-27,BFT.WA,PLN,24.868878201,
2015-07-27,HOCM.L,GBp,,
2015-07-27,VATN.S,CHF,15.386853292,
2015-07-28,BFT.WA,PLN,24.84565796,
2015-07-28,HOCM.L,GBp,,
2015-07-28,VATN.S,CHF,15.475747927,
2015-07-29,BFT.WA,PLN,24.955954105,
2015-07-29,HOCM.L,GBp,,
2015-07-29,VATN.S,CHF,15.435341275,
2015-07-30,BFT.WA,PLN,25.298452661,
2015-07-30,HOCM.L,GBp,,
2015-07-30,VATN.S,CHF,15.653537198,
2015-07-31,BFT.WA,PLN,25.304257721,
2015-07-31,HOCM.L,GBp,,
2015-07-31,VATN.S,CHF,15.532317241,
2015-08-03,BFT.WA,PLN,25.310062782,
2015-08-03,HOCM.L,GBp,,
2015-08-03,VATN.S,CHF,15.540398571,
2015-08-04,BFT.WA,PLN,25.48421459,
2015-08-04,HOCM.L,GBp,,
2015-08-04,VATN.S,CHF,15.435341275,
2015-08-05,BFT.WA,PLN,27.109631466,
2015-08-05,HOCM.L,GBp,,
2015-08-05,VATN.S,CHF,15.394934622,
2015-08-06,BFT.WA,PLN,26.145991461,
2015-08-06,HOCM.L,GBp,,
2015-08-06,VATN.S,CHF,15.51615458,
2015-08-07,BFT.WA,PLN,25.658366398,
2015-08-07,HOCM.L,GBp,,
2015-08-07,VATN.S,CHF,15.403015953,
2015-08-10,BFT.WA,PLN,25.252012179,
2015-08-10,HOCM.L,GBp,,
2015-08-10,VATN.S,CHF,15.419178614,
2015-08-11,BFT.WA,PLN,26.407219173,
2015-08-11,HOCM.L,GBp,,
2015-08-11,VATN.S,CHF,15.936383766,
2015-08-12,BFT.WA,PLN,26.12277122,
2015-08-12,HOCM.L,GBp,,
2015-08-12,VATN.S,CHF,15.766675826,
2015-08-13,BFT.WA,PLN,26.761327849,
2015-08-13,HOCM.L,GBp,,
2015-08-13,VATN.S,CHF,16.065685054,
2015-08-14,BFT.WA,PLN,26.061230294,
2015-08-14,HOCM.L,GBp,,
2015-08-14,VATN.S,CHF,15.896662326,
2015-08-17,BFT.WA,PLN,26.57112393,
2015-08-17,HOCM.L,GBp,,
2015-08-17,VATN.S,CHF,16.396360945,
2015-08-18,BFT.WA,PLN,26.962042385,
2015-08-18,HOCM.L,GBp,,
2015-08-18,VATN.S,CHF,16.411976527,
2015-08-19,BFT.WA,PLN,27.13200693,
2015-08-19,HOCM.L,GBp,,
2015-08-19,VATN.S,CHF,16.786750491,
2015-08-20,BFT.WA,PLN,26.741088476,
2015-08-20,HOCM.L,GBp,,
2015-08-20,VATN.S,CHF,16.708672582,
2015-08-21,BFT.WA,PLN,26.814739779,
2015-08-21,HOCM.L,GBp,,
2015-08-21,VATN.S,CHF,16.5212856,
2015-08-24,BFT.WA,PLN,26.174539991,
2015-08-24,HOCM.L,GBp,,
2015-08-24,VATN.S,CHF,15.865431162,
2015-08-25,BFT.WA,PLN,26.055564809,
2015-08-25,HOCM.L,GBp,,
2015-08-25,VATN.S,CHF,16.599363509,
2015-08-26,BFT.WA,PLN,25.607991506,
2015-08-26,HOCM.L,GBp,,
2015-08-26,VATN.S,CHF,17.099062128,
2015-08-27,BFT.WA,PLN,26.338839052,
2015-08-27,HOCM.L,GBp,,
2015-08-27,VATN.S,CHF,17.145908874,
2015-08-28,BFT.WA,PLN,26.548461991,
2015-08-28,HOCM.L,GBp,,
2015-08-28,VATN.S,CHF,17.223986783,
2015-08-31,BFT.WA,PLN,26.061230294,
2015-08-31,VATN.S,CHF,17.036599801,
2015-09-01,BFT.WA,PLN,25.664646355,
2015-09-01,HOCM.L,GBp,,
2015-09-01,VATN.S,CHF,16.474438854,
2015-09-02,BFT.WA,PLN,25.290724355,
2015-09-02,HOCM.L,GBp,,
2015-09-02,VATN.S,CHF,16.724288164,
2015-09-03,BFT.WA,PLN,25.653315385,
2015-09-03,HOCM.L,GBp,,
2015-09-03,VATN.S,CHF,17.177140037,
2015-09-04,BFT.WA,PLN,25.491849067,
2015-09-04,HOCM.L,GBp,,
2015-09-04,VATN.S,CHF,17.161524456,
2015-09-07,BFT.WA,PLN,25.721301203,
2015-09-07,HOCM.L,GBp,,
2015-09-07,VATN.S,CHF,17.130293292,
2015-09-08,BFT.WA,PLN,25.486183582,
2015-09-08,HOCM.L,GBp,,
2015-09-08,VATN.S,CHF,17.302064692,
2015-09-09,BFT.WA,PLN,25.438026961,
2015-09-09,HOCM.L,GBp,,
2015-09-09,VATN.S,CHF,17.192755619,
2015-09-10,BFT.WA,PLN,25.208574825,
2015-09-10,HOCM.L,GBp,,
2015-09-10,VATN.S,CHF,17.661223075,
2015-09-11,BFT.WA,PLN,24.92246784,
2015-09-11,HOCM.L,GBp,,
2015-09-11,VATN.S,CHF,17.505067256,
2015-09-14,BFT.WA,PLN,24.644859082,
2015-09-14,HOCM.L,GBp,,
2015-09-14,VATN.S,CHF,17.426989347,
2015-09-15,BFT.WA,PLN,24.327591931,
2015-09-15,HOCM.L,GBp,,
2015-09-15,VATN.S,CHF,17.302064692,
2015-09-16,BFT.WA,PLN,24.36158484,
2015-09-16,HOCM.L,GBp,,
2015-09-16,VATN.S,CHF,17.348911438,
2015-09-17,BFT.WA,PLN,23.795036355,
2015-09-17,HOCM.L,GBp,,
2015-09-17,VATN.S,CHF,17.302064692,
2015-09-18,BFT.WA,PLN,24.066979628,
2015-09-18,HOCM.L,GBp,,
2015-09-18,VATN.S,CHF,17.317680274,
2015-09-21,BFT.WA,PLN,23.925342507,
2015-09-21,HOCM.L,GBp,,
2015-09-21,VATN.S,CHF,17.551914002,
2015-09-22,BFT.WA,PLN,23.766708931,
2015-09-22,HOCM.L,GBp,,
2015-09-22,VATN.S,CHF,17.177140037,
2015-09-23,BFT.WA,PLN,23.511762113,
2015-09-23,HOCM.L,GBp,,
2015-09-23,VATN.S,CHF,17.11467771,
2015-09-24,BFT.WA,PLN,23.455107265,
2015-09-24,HOCM.L,GBp,,
2015-09-24,VATN.S,CHF,17.161524456,
2015-09-25,BFT.WA,PLN,23.511762113,
2015-09-25,HOCM.L,GBp,,
2015-09-25,VATN.S,CHF,17.348911438,
2015-09-28,BFT.WA,PLN,23.069854295,
2015-09-28,HOCM.L,GBp,,
2015-09-28,VATN.S,CHF,17.567529584,
2015-09-29,BFT.WA,PLN,23.001868477,
2015-09-29,HOCM.L,GBp,,
2015-09-29,VATN.S,CHF,17.551914002,
2015-09-30,BFT.WA,PLN,23.285142719,
2015-09-30,HOCM.L,GBp,,
2015-09-30,VATN.S,CHF,17.583145166,
2015-10-01,BFT.WA,PLN,23.166167537,
2015-10-01,HOCM.L,GBp,,
2015-10-01,VATN.S,CHF,18.004765876,
2015-10-02,BFT.WA,PLN,23.08685075,
2015-10-02,HOCM.L,GBp,,
2015-10-02,VATN.S,CHF,17.380142601,
2015-10-05,BFT.WA,PLN,24.078310598,
2015-10-05,HOCM.L,GBp,,
2015-10-05,VATN.S,CHF,18.114074949,
2015-10-06,BFT.WA,PLN,23.851691204,
2015-10-06,HOCM.L,GBp,,
2015-10-06,VATN.S,CHF,17.95791913,
2015-10-07,BFT.WA,PLN,23.795036355,
2015-10-07,HOCM.L,GBp,,
2015-10-07,VATN.S,CHF,17.817378893,
2015-10-08,BFT.WA,PLN,23.795036355,
2015-10-08,HOCM.L,GBp,,
2015-10-08,VATN.S,CHF,17.911072384,
2015-10-09,BFT.WA,PLN,23.576915189,
2015-10-09,HOCM.L,GBp,,
2015-10-09,VATN.S,CHF,17.645607493,
2015-10-12,BFT.WA,PLN,24.248275143,
2015-10-12,HOCM.L,GBp,,
2015-10-12,VATN.S,CHF,17.661223075,
2015-10-13,BFT.WA,PLN,23.341797568,
2015-10-13,HOCM.L,GBp,,
2015-10-13,VATN.S,CHF,17.223986783,
2015-10-14,BFT.WA,PLN,23.778039901,
2015-10-14,HOCM.L,GBp,,
2015-10-14,VATN.S,CHF,16.958521891,
2015-10-15,BFT.WA,PLN,24.265271598,
2015-10-15,HOCM.L,GBp,,
2015-10-15,VATN.S,CHF,17.020984219,
2015-10-16,BFT.WA,PLN,24.265271598,
2015-10-16,HOCM.L,GBp,,
2015-10-16,VATN.S,CHF,17.28644911,
2015-10-19,BFT.WA,PLN,24.219947719,
2015-10-19,HOCM.L,GBp,,
2015-10-19,VATN.S,CHF,17.411373765,
2015-10-20,BFT.WA,PLN,24.928133325,
2015-10-20,HOCM.L,GBp,,
