Date,RIC,Earnings Per Share - Mean,Earnings Per Share - Predicted Surprise PCT,Earnings Per Share - SmartEstimate®,Earnings Per Share - Standard Deviation
2018-09-28,PRGS.OQ,2.4925,0.079,2.49446,0.08757
2018-09-28,PRGS.OQ,2.4625,0.027,2.46317,0.00829
2018-10-23,LRCX.OQ,1.45658,-0.972,1.44243,0.11199
2018-10-26,NIC.N,3.975,0.0,3.97502,0.015
2018-10-29,STEL.N,1.95,,,0.05099
2018-10-29,STEL.N,1.80333,-0.011,1.80313,0.00943
2018-10-30,BCBP.OQ,1.01,0.0,1.01,0.0
2018-10-30,PII.N,6.55706,0.279,6.57534,0.05696
2018-10-30,STEL.N,,-1.293,1.92478,
2018-10-30,SWK.N,8.13763,-0.035,8.13478,0.03113
2018-10-31,EXAS.OQ,-1.51,-0.002,-1.51003,0.02418
2018-11-02,SLAB.OQ,3.738,-0.013,3.73751,0.00631
2018-11-05,THR.N,1.154,0.828,1.16356,0.11164
2018-11-09,PLXS.OQ,3.866,-0.057,3.86379,0.05535
2018-11-13,AWI.N,3.7252,-0.255,3.71569,0.03709
2018-11-19,CHRS.OQ,-3.1206,-0.493,-3.13599,0.06691
2018-11-19,PRA.N,1.74375,-0.44,1.73609,0.05721
2018-11-20,SNPS.OQ,3.90389,-0.022,3.90305,0.01822
2018-11-20,TK.N,-0.48,0.0,-0.48,0.0
2018-11-21,CAL.N,2.29667,0.043,2.29765,0.03145
2018-11-21,CUBE.N,0.848,-0.236,0.846,0.002
2018-11-22,CRMT.OQ,5.93667,0.222,5.94982,0.05313
2018-11-22,GOOG.OQ,2.08889,,,0.05273
2018-11-23,ASIX.N,2.155,0.009,2.1552,0.005
2018-11-26,GOOG.OQ,,0.347,2.09615,
2018-11-28,OKE.N,2.82806,0.435,2.84037,0.04816
2018-11-29,IAC.OQ,5.48767,0.188,5.49798,0.24059
2018-11-29,QLYS.OQ,1.63813,0.148,1.64055,0.0095
2018-11-30,UTHR.OQ,14.39111,,,0.64686
2018-11-30,UTHR.OQ,14.39111,-0.199,14.36255,0.64686
2018-12-03,NOV.N,-0.02833,,,0.04761
2018-12-03,AON.N,8.1333,0.088,8.14048,0.05492
2018-12-03,CMC.N,2.16122,4.583,2.26027,0.44785
2018-12-03,FRT.N,3.23214,0.046,3.23364,0.02724
2018-12-03,NOV.N,-0.02833,4.675,-0.02366,0.04761
2018-12-03,RIGL.OQ,-4.6086,5.973,-4.3333,0.6882
2018-12-03,SWX.N,3.81729,0.13,3.82224,0.06875
2018-12-03,UNP.N,7.86,-0.026,7.85798,0.05481
2018-12-04,HPE.N,1.57825,0.105,1.57991,0.04164
2018-12-04,MET.N,5.35565,0.127,5.36246,0.06245
2018-12-04,USB.N,4.10054,0.047,4.10246,0.02268
2018-12-05,EXAS.OQ,-1.51077,-0.014,-1.51098,0.02336
2018-12-05,NOV.N,,2.835,-0.0255,
2018-12-05,THR.N,1.138,0.779,1.14686,0.09724
2018-12-06,SNPS.OQ,4.25556,,,0.05737
2018-12-06,GOOG.OQ,2.08889,0.375,2.09672,0.05273
2018-12-06,HPE.N,1.58808,0.04,1.58871,0.03794
2018-12-06,SLAB.OQ,3.73758,-0.026,3.7366,0.00725
2018-12-06,SNPS.OQ,4.25556,0.023,4.25654,0.05737
2018-12-07,AON.N,8.1353,0.081,8.14188,0.05512
2018-12-07,HPE.N,1.58767,-0.098,1.58611,0.0383
2018-12-07,SNPS.OQ,,-0.422,4.2376,
2018-12-09,CMC.N,2.21011,4.922,2.31889,0.45803
2018-12-10,FRT.N,3.23257,,,0.02746
