Date,RIC,Earnings Per Share - Mean
2026-03-11,FDX.N,18.68043
2026-03-12,ZION.OQ,6.21379
2026-03-12,ODFL.OQ,5.00617
2026-03-12,MTG.N,3.0675
2026-03-13,ODFL.OQ,5.00792
2026-03-13,FDX.N,18.68936
2026-03-13,SHW.N,11.93672
2026-03-13,GPGI.N,1.10667
2026-03-13,ELS.N,2.02111
2026-03-15,GPGI.N,1.10667
2026-03-16,ENOV.N,3.6212
2026-03-16,FIVE.OQ,6.35546
2026-03-16,NSA.N,0.6875
2026-03-16,FDX.N,18.70186
2026-03-16,INGM.N,3.194
2026-03-16,SHW.N,11.94035
2026-03-17,FIVE.OQ,6.37504
2026-03-17,LECO.OQ,10.8151
2026-03-17,FDX.N,18.69471
2026-03-17,RRX.N,10.66409
2026-03-17,SHW.N,11.90573
2026-03-18,FIVE.OQ,7.29904
2026-03-18,APP.OQ,15.57939
2026-03-18,SHW.N,11.90756
2026-03-18,KOP.N,4.2975
2026-03-19,FIVE.OQ,7.9808
2026-03-19,FDX.N,19.07321
2026-03-19,GPGI.N,1.13
2026-03-20,FIVE.OQ,8.0488
2026-03-20,FDX.N,19.45993
2026-03-20,PRI.N,23.86186
2026-03-23,FDX.N,19.49266
2026-03-23,KRUS.OQ,-0.19714
2026-03-24,DAR.N,3.05282
2026-03-24,WGO.N,2.46114
2026-03-24,FDX.N,19.69548
2026-03-24,KRUS.OQ,-0.19514
2026-03-24,GPGI.N,1.13
2026-03-25,FDX.N,19.69565
2025-10-29,SPOK.OQ,0.8
2025-10-29,GIC.N,1.84
2025-10-31,QUAD.N,1.01
2025-10-31,THRY.OQ,0.509
2025-10-31,QUAD.N,1.13
2025-11-06,PKOH.OQ,3.15
2025-11-06,PKOH.OQ,2.8
2025-11-07,STRA.OQ,5.86667
2025-11-07,STRA.OQ,6.42667
2025-12-03,CTRN.OQ,-0.77
2025-12-04,PDFS.OQ,1.0725
2025-12-21,VERA.OQ,-4.54077
2025-12-22,AOMR.N,0.59
2025-12-22,AIRJ.OQ,0.16
2025-12-29,ZVRA.OQ,1.2375
2026-01-15,EYE.OQ,0.69946
2026-01-18,RKLB.OQ,-0.37725
2026-01-18,PARR.N,4.8875
2026-01-18,RKLB.OQ,-0.21292
2026-01-20,BMBL.OQ,-2.13375
2026-01-26,AMT.N,5.26813
2026-01-28,PARR.N,3.78286
2026-01-30,BEPC.N,-1.14333
2026-01-30,CHCO.OQ,8.9725
2026-02-02,DTM.N,4.38983
2026-02-03,SMPL.OQ,1.94425
2026-02-03,FMBH.OQ,4.40267
2026-02-04,PNFP.N,10.19144
2026-02-05,LQDT.OQ,1.56
2026-02-06,GWW.N,43.56506
2026-02-09,BC.N,4.2335
2026-02-09,WDC.OQ,8.93753
2026-02-09,REG.OQ,2.46444
2026-02-10,RL.N,16.24947
2026-02-10,G.N,4.01667
2026-02-10,QCOM.OQ,11.10279
2026-02-11,TMO.N,24.56438
2026-02-11,KMPR.N,3.932
2026-02-11,PFE.N,2.96742
2026-02-11,NMIH.OQ,5.13667
2026-02-11,ARMK.N,2.21292
2026-02-12,RPRX.OQ,5.06971
2026-02-12,RTX.N,6.81421
2026-02-12,PRCH.OQ,0.065
2026-02-12,SSNC.OQ,6.86011
2026-02-12,GEO.N,1.27
2026-02-12,KHC.OQ,2.19395
2026-02-12,HAS.OQ,5.5965
2026-02-12,STAG.N,1.035
2026-02-12,HOG.N,1.03933
2026-02-12,KMX.N,2.65705
2026-02-13,WDC.OQ,8.92915
2026-02-13,DTM.N,4.39215
2026-02-13,PDFS.OQ,1.116
2026-02-13,GEO.N,1.22333
2026-02-13,PFE.N,2.96405
2026-02-13,KHC.OQ,2.16195
2026-02-13,RL.N,16.24888
2026-02-13,HOG.N,0.264
2026-02-14,VERA.OQ,-4.54769
2026-02-16,RTX.N,6.84842
2026-02-16,KHC.OQ,2.06129
2026-02-17,BC.N,4.23174
2026-02-17,GWW.N,43.56144
2026-02-17,SSNC.OQ,6.8431
2026-02-17,GEO.N,1.18333
2026-02-17,PFE.N,2.95905
2026-02-17,NMIH.OQ,5.144
2026-02-17,HAS.OQ,5.7111
2026-02-17,RL.N,16.25894
2026-02-17,ARMK.N,2.21423
2026-02-17,HOG.N,0.24091
2026-02-17,KMX.N,2.66126
2026-02-18,KALV.OQ,-2.93
2026-02-18,RPRX.OQ,5.07633
2026-02-18,RTX.N,6.846
2026-02-18,HAS.OQ,5.7121
2026-02-18,FMBH.OQ,4.41514
2026-02-18,REG.OQ,2.45111
2026-02-18,STAG.N,1.0475
2026-02-19,QUAD.N,1.14
2026-02-19,DTM.N,4.85377
2026-02-19,PFE.N,2.95541
2026-02-19,KHC.OQ,2.03424
2026-02-19,HAS.OQ,5.70582
2026-02-20,BC.N,4.23542
2026-02-20,DTM.N,4.82708
2026-02-20,CHCO.OQ,8.938
2026-02-22,RTX.N,6.83191
2026-02-23,TMO.N,24.556
2026-02-23,PNFP.N,10.099
2026-02-23,KHC.OQ,2.03456
2026-02-23,HAS.OQ,5.68533
2026-02-24,GIC.N,1.975
2026-02-24,AMT.N,6.86194
2026-02-24,RTX.N,6.83129
2026-02-24,DTM.N,4.82908
2026-02-24,PFE.N,2.9543
2026-02-24,KHC.OQ,2.03537
2026-02-24,QCOM.OQ,11.109
2026-02-24,KMX.N,2.65337
2026-02-25,AOMR.N,1.328
2026-02-25,SPOK.OQ,0.66
2026-02-25,GIC.N,2.0
2026-02-25,AMT.N,6.67531
2026-02-25,QUAD.N,1.15
2026-02-25,DTM.N,4.83292
2026-02-25,PARR.N,3.66857
2026-02-26,VERA.OQ,-4.67083
2026-02-26,AMT.N,6.64406
2026-02-26,GWW.N,43.567
2026-02-26,HAS.OQ,5.71185
2026-02-26,RL.N,16.25567
2026-02-26,QCOM.OQ,11.1387
2026-02-26,THRY.OQ,0.30433
2026-02-27,RPRX.OQ,5.06633
2026-02-27,VERA.OQ,-4.79083
2026-02-27,RKLB.OQ,-0.221
2026-02-27,AMT.N,6.59969
2026-02-27,PFE.N,2.95621
2026-02-27,HAS.OQ,5.71262
2026-02-27,STRA.OQ,6.56
2026-02-27,PARR.N,3.89286
2026-02-28,DTM.N,4.80292
2026-03-02,VERA.OQ,-4.92917
2026-03-02,RKLB.OQ,-0.23275
2026-03-02,QCOM.OQ,11.14314
2026-03-02,REG.OQ,2.44667
2026-03-02,STRA.OQ,6.75333
2026-03-03,RKLB.OQ,-0.23358
2026-03-03,AMT.N,6.462
2026-03-03,GWW.N,43.5819
2026-03-03,DTM.N,4.79369
2026-03-03,PFE.N,2.95579
2026-03-03,HOG.N,0.42917
2026-03-03,PARR.N,4.4
2026-03-04,AMT.N,6.4764
2026-03-04,DTM.N,4.78062
2026-03-04,EYE.OQ,0.96775
2026-03-04,HOG.N,0.41
2026-03-05,VERA.OQ,-5.19667
2026-03-05,RKLB.OQ,-0.24663
2026-03-05,WDC.OQ,8.92915
2026-03-05,RTX.N,6.83081
2026-03-05,DTM.N,4.77546
2026-03-05,HAS.OQ,5.71529
2026-03-05,RL.N,16.26583
2026-03-05,EYE.OQ,0.98892
2026-03-05,HOG.N,0.41
2026-03-05,STRA.OQ,6.905
2026-03-06,VERA.OQ,-5.055
2026-03-06,PKOH.OQ,3.095
2026-03-07,AOMR.N,1.318
2026-03-07,REG.OQ,2.42556
2026-03-08,TMO.N,24.55704
2026-03-09,ZVRA.OQ,0.4875
2026-03-09,VERA.OQ,-5.169
2026-03-09,GWW.N,43.59505
2026-03-09,QCOM.OQ,11.13932
2026-03-09,HOG.N,0.41385
2026-03-09,PARR.N,4.4275
2026-03-10,TMO.N,24.5553
2026-03-10,ZVRA.OQ,0.45938
2026-03-10,HAS.OQ,5.71093
2026-03-10,QCOM.OQ,11.13693
2026-03-10,HOG.N,0.40214
2026-03-11,PFE.N,2.95716
2026-03-11,BMBL.OQ,0.867
2026-03-11,KMX.N,2.65133
2026-03-11,PARR.N,5.0575
2026-03-12,NMIH.OQ,5.13667
2026-03-12,BMBL.OQ,0.91246
2026-03-13,VERA.OQ,-5.20091
2026-03-13,PNFP.N,10.11461
