Date,RIC,Earnings Per Share - Mean
2017-08-11,INVX.N,0.11
2017-08-14,INVX.N,0.11625
2017-08-18,INVX.N,0.11333
2017-08-21,GLDD.OQ,0.02
2017-10-06,GLDD.OQ,0.0055
2017-10-09,INVX.N,0.10667
2017-10-10,GLDD.OQ,-0.0345
2017-10-10,INVX.N,0.11
2017-10-16,INVX.N,0.102
2017-10-17,INVX.N,0.091
2017-10-27,INVX.N,0.107
2017-10-30,INVX.N,0.152
2017-10-31,INVX.N,0.16
2017-11-03,INVX.N,0.165
2017-11-07,INVX.N,0.18222
2017-11-08,GLDD.OQ,-0.0845
2017-11-09,AGM.N,5.87333
2017-11-10,AGM.N,5.95667
2017-11-13,AGM.N,6.015
2017-11-16,GLDD.OQ,-0.16
2017-12-04,INVX.N,0.19333
2017-12-14,AGM.N,6.025
2017-12-21,INVX.N,0.19444
2017-12-29,GLDD.OQ,-0.16
2018-01-24,GLDD.OQ,-0.25
2018-01-24,GLDD.OQ,-0.005
2018-01-29,INVX.N,0.19556
2018-02-21,GLDD.OQ,-0.09
2018-02-27,INVX.N,0.175
2018-02-28,INVX.N,0.15357
2018-03-01,INVX.N,0.145
2018-03-06,INVX.N,0.12154
2018-03-08,AGM.N,7.94667
2018-03-08,INVX.N,0.09929
2018-03-12,AGM.N,7.88
2018-03-12,INVX.N,0.08769
2018-03-13,AGM.N,8.18
2018-03-13,INVX.N,0.08769
2018-03-26,INVX.N,0.11357
2018-04-10,INVX.N,0.08857
2018-04-12,INVX.N,0.08929
2018-04-13,INVX.N,0.08071
2018-04-17,INVX.N,0.07539
2018-04-26,AGM.N,8.18333
2018-04-26,INVX.N,-0.00154
2018-04-27,INVX.N,-0.06
2018-04-30,INVX.N,-0.12917
2018-05-01,INVX.N,-0.205
2018-05-03,INVX.N,-0.27667
2018-05-07,INVX.N,-0.292
2018-05-10,AGM.N,8.20667
2018-05-11,AGM.N,8.29333
2018-05-15,AGM.N,8.33333
2018-06-05,INVX.N,-0.28667
2018-06-07,INVX.N,-0.28778
2018-06-08,AGM.N,8.44
2018-07-05,INVX.N,-0.28778
2018-07-20,INVX.N,-0.30375
2018-07-26,INVX.N,-0.3525
2018-07-27,INVX.N,-0.41
2018-07-30,AGM.N,8.28
2018-07-30,INVX.N,-0.4675
2018-07-31,INVX.N,-0.64375
2018-08-02,GLDD.OQ,-0.07
2018-08-02,INVX.N,-0.70625
2018-08-04,GLDD.OQ,-0.065
2018-08-10,AGM.N,8.08
2018-09-14,INVX.N,-0.78625
2018-09-18,GLDD.OQ,-0.08
2018-09-18,INVX.N,-0.81667
2018-10-09,INVX.N,-0.81222
2018-10-11,INVX.N,-0.81
2018-10-25,INVX.N,-0.79778
2018-10-29,INVX.N,-0.79222
2018-10-30,INVX.N,-0.78567
2018-10-31,GLDD.OQ,-0.09
2018-11-05,GLDD.OQ,0.05
2018-11-07,GLDD.OQ,0.015
2018-11-07,GLDD.OQ,0.34
2018-11-09,INVX.N,-0.76533
2018-11-14,AGM.N,8.32
2018-11-14,AGM.N,8.05
2018-12-03,INVX.N,-0.762
2019-02-11,INVX.N,-0.76463
2019-02-15,INVX.N,-0.3484
2019-02-20,INVX.N,-0.76463
2019-02-21,GLDD.OQ,0.44
2019-02-22,AGM.N,8.5
2019-02-27,INVX.N,-0.3424
2019-02-28,INVX.N,-0.2434
2019-03-04,INVX.N,-0.1074
2019-03-05,INVX.N,-0.0412
2019-03-13,INVX.N,-0.0288
2019-04-05,INVX.N,-0.0178
2019-04-08,INVX.N,-0.03346
