Date,RIC,Earnings Per Share - Mean,Earnings Per Share - Standard Deviation,Earnings Per Share - Predicted Surprise PCT,Earnings Per Share - SmartEstimate®
2022-09-30,ABAT.OQ,-0.75,0.0,,
2023-02-24,AAOI.OQ,-0.475,0.05212,,
2023-02-24,AAOI.OQ,-0.475,0.05212,2.615,-0.46258
2023-03-01,AAON.OQ,1.7415,0.03581,0.088,1.74303
2023-03-01,ACLS.OQ,5.81917,0.42923,0.049,5.82204
2023-03-02,ACIW.OQ,1.086,0.04758,0.327,1.08955
2023-03-06,ACMR.OQ,0.858,0.21803,3.738,0.89007
2023-03-07,ACHC.OQ,3.2661,0.05451,0.271,3.27497
2023-03-09,ABM.N,3.50143,0.05718,,
2023-03-10,ACT.OQ,3.22025,0.15808,-0.706,3.19753
2023-03-16,ACHR.N,-1.27667,0.18373,0.216,-1.27391
2023-03-21,ADC.N,1.73,0.07403,,
2023-03-24,ADT.N,0.4752,0.13706,-2.101,0.46522
2023-03-27,ACA.N,2.085,0.15185,0.738,2.1004
2023-03-28,AEVA.OQ,-3.35,0.40774,-2.479,-3.43305
2023-03-29,ACN.N,11.58975,0.06541,,
2023-03-31,AEHR.OQ,0.575,0.015,-1.961,1.0
2023-03-31,AEHR.OQ,0.575,0.015,,
2023-03-31,AEHR.OQ,1.02,0.02,,
2023-03-31,ACM.N,3.7062,0.05258,0.521,3.7255
2023-03-31,ADBE.OQ,15.50116,0.13915,,
2023-03-31,AEHR.OQ,0.575,0.015,-0.553,0.57182
2023-04-03,ABR.N,1.784,0.20412,-0.02,1.78364
2023-04-03,ACVA.N,-0.6181,0.05317,1.173,-0.61085
2023-04-05,AEIS.OQ,4.56075,0.33302,1.644,4.63574
2023-04-10,ADPT.OQ,-1.201,0.07905,1.175,-1.18689
2023-04-10,ADUS.OQ,4.06375,0.07809,0.551,4.08612
2023-04-11,AESI.N,2.6028,0.24356,0.808,2.62384
2023-04-12,ACN.N,,,-0.007,11.58893
2023-04-12,ADBE.OQ,,,0.195,15.53136
2023-04-12,ADP.OQ,8.12453,0.05617,,
2023-04-13,ACLX.OQ,-0.259,2.24998,,
2023-04-13,ABCB.N,4.75714,0.15154,-0.288,4.74346
2023-04-13,ACAD.OQ,-0.51648,0.13716,-2.661,-0.53022
2023-04-13,ACLX.OQ,-0.259,2.24998,17.726,-0.21309
2023-04-13,AFG.N,11.986,0.34115,0.181,12.00764
2023-04-14,ABG.N,30.91225,2.54514,0.927,31.19879
2023-04-15,ABM.N,,,0.504,3.51907
2023-04-15,ADC.N,,,2.288,1.76958
2023-04-17,A.N,5.68612,0.02321,0.037,5.6882
2023-04-17,ACGL.OQ,5.80373,0.39015,-0.024,5.80232
2023-04-17,ADSK.OQ,7.22719,0.10157,0.516,7.26446
2023-04-18,AAL.OQ,2.47547,0.44837,6.172,2.62827
2023-04-18,ACI.N,2.80611,0.15323,0.884,2.83092
2023-04-18,ADI.OQ,10.71044,0.28074,0.411,10.75444
2023-04-18,ADM.N,6.89875,0.26423,-1.556,6.79142
2023-04-18,ADMA.OQ,-0.1475,0.02385,0.004,-0.14749
2023-04-18,AEO.N,1.14246,0.05399,0.399,1.14701
2023-04-18,ADI.OQ,10.71044,0.28074,,
2023-04-19,AA.N,1.68985,0.88568,-34.076,1.11401
2023-04-19,AAP.N,10.59322,0.56017,0.753,10.673
2023-04-19,AAPL.OQ,5.95547,0.16859,0.133,5.96341
2023-04-19,ABBV.N,11.01171,0.28592,-0.788,10.92498
2023-04-19,ABNB.OQ,3.26707,0.31317,3.123,3.36912
2023-04-19,ABT.N,4.39823,0.0346,-0.02,4.39736
2023-04-19,ADEA.OQ,1.31233,0.00881,0.29,1.31613
2023-04-19,ADNT.N,2.076,0.17437,1.597,2.10915
2023-04-19,ADP.OQ,,,0.173,8.13862
2023-04-19,AEE.N,4.36,0.01613,0.014,4.36395
2023-04-19,AEP.OQ,5.27722,0.04337,-0.421,5.25498
2023-04-19,AES.N,1.71958,0.03126,0.94,1.73575
2023-04-19,AAP.N,10.59322,0.56017,,
2023-04-20,AA.N,1.51477,0.88212,-40.493,0.90139
2023-04-20,ABNB.OQ,3.27158,0.31827,3.006,3.36991
2023-04-20,ABT.N,4.39864,0.02926,-0.087,4.39483
2023-04-20,ACAD.OQ,-0.51938,0.13303,-3.175,-0.53587
2023-04-20,ACHC.OQ,3.26555,0.0562,0.313,3.27578
2023-04-20,ACN.N,11.59375,0.0653,-0.018,11.59162
2023-04-20,ADP.OQ,8.12629,0.05292,0.112,8.13542
2023-04-20,ADSK.OQ,7.22619,0.0998,0.509,7.26297
2023-04-21,AA.N,1.3385,0.76418,-28.95,0.951
2023-04-21,AAPL.OQ,5.95284,0.16865,0.042,5.95535
2023-04-21,ABBV.N,11.00838,0.28381,-0.742,10.92674
2023-04-21,ABT.N,4.40241,0.0278,-0.062,4.3997
2023-04-21,ADM.N,6.90588,0.26121,-1.529,6.80027
2023-04-21,ADNT.N,2.064,0.17642,0.949,2.0836
