Date,RIC,Earnings Per Share - Mean,Earnings Per Share - Predicted Surprise PCT,Earnings Per Share - SmartEstimate®,Earnings Per Share - Standard Deviation
2017-03-31,PRGS.OQ,1.67667,,,0.02494
2017-04-01,PRGS.OQ,,-0.972,1.66038,
2017-04-18,NIC.N,3.055,,,0.095
2017-04-21,PLXS.OQ,3.23,-0.734,3.20631,0.05292
2017-04-27,SLAB.OQ,2.93167,0.452,2.94491,0.05257
2017-05-03,RIGL.OQ,-5.36,-0.19,-5.3702,0.6859
2017-05-03,UTHR.OQ,14.42236,,,1.31296
2017-05-08,SAMG.OQ,0.88,0,0.88,0
2017-05-12,ASIX.N,2.43,0.0,2.43,0.0
2017-05-15,UTHR.OQ,,0.538,14.5,
2017-05-18,SNPS.OQ,3.2825,0.013,3.28292,0.01639
2017-05-22,AON.N,6.475,,,0.15467
2017-05-25,NIC.N,,-3.11,2.96,
2017-05-26,THR.N,0.45286,1.393,0.45917,0.04199
2017-05-30,CAL.N,2.18586,-0.257,2.18025,0.03135
2017-05-30,CUBE.N,0.6675,0.128,0.66835,0.02586
2017-05-30,CAL.N,2.18586,,,0.03135
2017-05-31,AON.N,,-0.036,6.47264,
2017-06-02,OKE.N,1.8575,,,0.03031
2017-06-02,MET.N,5.38763,-0.105,5.38199,0.09354
2017-06-02,OKE.N,1.8575,-0.129,1.85511,0.03031
2017-06-12,CHRS.OQ,-4.92167,,,0.8556
2017-06-12,EXAS.OQ,-1.34333,0.678,-1.33422,0.08584
2017-06-12,PRA.N,2.33333,1.438,2.36689,0.11055
2017-06-12,UNP.N,5.7431,-0.022,5.74187,0.09523
2017-06-13,CHRS.OQ,,7.035,-4.57542,
2017-06-14,HPE.N,1.42688,-0.439,1.42061,0.08068
2017-06-14,SWX.N,3.37875,-0.454,3.36341,0.04343
2017-06-15,GOOG.OQ,1.69921,-0.009,1.69907,0.03915
2017-06-16,CRMT.OQ,3.046,-0.291,3.03715,0.18073
2017-06-16,FRT.N,3.19714,0.174,3.20271,0.14964
2017-06-16,SWK.N,7.21789,0.167,7.22991,0.03885
2017-06-16,USB.N,3.46742,-0.188,3.46089,0.04717
2017-06-18,CMC.N,0.88533,-0.831,0.87798,0.09827
2017-06-18,CMC.N,0.88533,,,0.09827
2017-06-19,AWI.N,2.67669,-0.438,2.66495,0.07272
2017-06-19,IAC.OQ,3.04074,0.083,3.04325,0.32839
2017-06-19,LRCX.OQ,0.98843,0.139,0.98981,0.00432
2017-06-19,NOV.N,-0.39894,0.485,-0.397,0.10711
2017-06-19,PII.N,4.416,-0.964,4.37345,0.14644
2017-06-19,QLYS.OQ,0.845,-0.206,0.84326,0.01225
2017-06-19,TK.N,-0.83,-0.35,-0.8329,0.26166
2017-06-19,IAC.OQ,3.04074,,,0.32839
2017-06-20,AON.N,6.52395,0.534,6.55879,0.24031
2017-06-20,CMC.N,,-0.839,0.87791,
2017-06-20,FRT.N,3.19714,0.177,3.20282,0.14964
2017-06-20,MET.N,5.392,-0.101,5.38656,0.09094
2017-06-20,UNP.N,5.73517,-0.017,5.73419,0.10361
2017-06-20,USB.N,3.46936,-0.206,3.46223,0.04989
2017-06-21,NOV.N,-0.39591,,,0.11269
2017-06-21,AON.N,6.53321,0.467,6.56372,0.23738
2017-06-21,CHRS.OQ,-4.53833,1.293,-4.47966,0.57071
2017-06-21,MET.N,5.39482,-0.155,5.38649,0.08894
2017-06-21,NOV.N,-0.39591,-0.042,-0.39607,0.11269
2017-06-21,OKE.N,,-0.141,1.85489,
2017-06-21,SWK.N,7.22067,0.202,7.23521,0.03925
2017-06-21,UNP.N,5.73379,-0.004,5.73356,0.10015
2017-06-22,CMC.N,0.91178,-0.689,0.90549,0.0773
2017-06-22,FRT.N,3.18875,0.128,3.19283,0.14173
2017-06-22,CMC.N,0.91178,,,0.0773
2017-06-22,FRT.N,3.18875,,,0.14173
2017-06-23,ASIX.N,2.61,0.661,2.62726,0.18
2017-06-23,CMC.N,,2.509,0.93465,
2017-06-23,HPE.N,1.42882,-0.494,1.42177,0.07866
2017-06-23,SWK.N,7.22178,0.191,7.23556,0.03836
2017-06-25,CMC.N,0.92956,0.705,0.93611,0.0625
2017-06-26,NOV.N,,-0.06,-0.39615,
2017-06-26,OKE.N,1.9,0.255,1.90485,0.08922
2017-06-26,UNP.N,5.73448,-0.015,5.7336,0.09984
2017-06-26,OKE.N,1.9,,,0.08922
2017-06-27,OKE.N,,0.257,1.90488,
2017-06-28,IAC.OQ,,0.088,3.04341,
2017-06-28,OKE.N,,0.258,1.9049,
2017-06-28,UNP.N,5.73379,0.177,5.74395,0.09671
2017-06-28,USB.N,3.46926,-0.218,3.46169,0.04989
2017-06-29,CMC.N,0.92629,1.066,0.93616,0.03975
2017-06-29,PRGS.OQ,1.76667,0.222,1.77058,0.017
2017-06-29,UNP.N,5.73621,0.179,5.74646,0.09795
2017-06-29,USB.N,3.46636,-0.197,3.45953,0.04707
2017-06-30,GOOG.OQ,1.69921,-0.011,1.69902,0.03915
2017-06-30,HPE.N,1.42882,-0.475,1.42204,0.07866
2017-06-30,LRCX.OQ,0.98843,0.161,0.99003,0.00432
2017-06-30,NOV.N,-0.39833,0.239,-0.39738,0.11254
2017-06-30,QLYS.OQ,0.845,-0.049,0.84459,0.01225
2017-06-30,SLAB.OQ,2.93167,0.445,2.94472,0.05257
2017-06-30,SNPS.OQ,3.2825,0.037,3.28372,0.01639
2017-06-30,GOOG.OQ,1.69921,,,0.03915
2017-07-03,IAC.OQ,3.03547,0.667,3.05572,0.31661
2017-07-03,NOV.N,-0.39955,-0.48,-0.40146,0.11362
2017-07-04,TK.N,-0.82,-0.733,-0.82601,0.25469
2017-07-05,OKE.N,1.895,,,0.09161
2017-07-05,UTHR.OQ,14.46146,,,1.34598
2017-07-05,AON.N,6.53058,0.424,6.55828,0.23801
2017-07-05,CMC.N,0.92629,1.075,0.93624,0.03975
2017-07-05,MET.N,5.39541,-0.159,5.38686,0.08914
2017-07-05,OKE.N,1.895,0.038,1.89571,0.09161
2017-07-05,PLXS.OQ,3.2225,-0.76,3.19801,0.05093
2017-07-05,USB.N,3.46474,-0.22,3.45712,0.04844
2017-07-05,UTHR.OQ,14.46146,1.28,14.64661,1.34598
2017-07-06,AON.N,6.53111,0.409,6.55781,0.23797
2017-07-06,EXAS.OQ,-1.334,0.919,-1.32174,0.09024
2017-07-06,GOOG.OQ,,-0.008,1.69908,
2017-07-06,MET.N,5.38011,0.016,5.38095,0.13206
2017-07-06,OKE.N,,-1.556,1.86551,
2017-07-06,SWK.N,7.22622,0.176,7.23895,0.03989
2017-07-06,UNP.N,5.74372,0.223,5.75654,0.10711
2017-07-06,USB.N,3.46377,-0.239,3.45548,0.04802
2017-07-07,AWI.N,2.67606,-0.522,2.6621,0.07308
2017-07-07,EXAS.OQ,-1.33067,0.998,-1.31739,0.08903
2017-07-07,NOV.N,-0.39924,-0.269,-0.40031,0.11435
2017-07-07,OKE.N,1.91,-2.33,1.86549,0.09338
2017-07-07,PII.N,4.41632,-1.216,4.3626,0.15024
2017-07-07,QLYS.OQ,0.844,0.067,0.84457,0.012
2017-07-07,UNP.N,5.74648,0.208,5.75841,0.10617
2017-07-07,USB.N,3.46442,-0.225,3.45662,0.04837
2017-07-07,EXAS.OQ,-1.33067,,,0.08903
2017-07-08,EXAS.OQ,,1.946,-1.30477,
2017-07-10,UNP.N,5.752,,,0.10013
2017-07-10,AON.N,6.52847,0.4,6.55458,0.23692
2017-07-10,CMC.N,0.92771,1.145,0.93833,0.04004
2017-07-10,GOOG.OQ,1.704,-0.044,1.70325,0.03547
2017-07-10,MET.N,5.38289,-0.021,5.38174,0.12873
2017-07-10,QLYS.OQ,0.845,0.197,0.84666,0.01225
2017-07-10,SWK.N,7.23289,0.19,7.24665,0.03898
2017-07-10,TK.N,-0.95667,-1.768,-0.97358,0.3856
2017-07-10,UNP.N,5.752,0.154,5.76087,0.10013
2017-07-10,USB.N,3.46313,-0.237,3.45494,0.0465
2017-07-11,AON.N,6.52321,0.431,6.55132,0.23616
2017-07-11,EXAS.OQ,-1.32267,2.034,-1.29576,0.08963
2017-07-11,FRT.N,,0.14,3.19322,
2017-07-11,GOOG.OQ,1.70321,-0.208,1.69967,0.03442
2017-07-11,IAC.OQ,3.05967,0.219,3.06636,0.30772
2017-07-11,MET.N,5.38233,-0.132,5.37523,0.12593
2017-07-11,OKE.N,1.9225,-3.411,1.85693,0.09653
2017-07-11,SWK.N,7.22905,0.19,7.24276,0.04129
2017-07-11,UNP.N,,0.155,5.7609,
