Date,RIC,Earnings Per Share - Mean,Earnings Per Share - Predicted Surprise PCT,Earnings Per Share - SmartEstimate®,Earnings Per Share - Standard Deviation
2020-04-03,AEHR.OQ,0.1,0,0.1,0
2020-04-03,AEHR.OQ,0.0,0,0.0,0
2020-04-20,ABT.N,2.8261,0.952,2.853,0.26345
2020-04-27,ABCB.N,2.286,0.545,2.29846,0.20441
2020-04-28,AA.N,-1.25073,1.411,-1.23308,0.57715
2020-05-05,ACN.N,7.59492,0.03,7.59717,0.06313
2020-05-06,AAPL.OQ,3.08983,-0.146,3.08533,0.09375
2020-05-06,ADM.N,2.82062,-0.504,2.80639,0.17649
2020-05-07,ACIW.OQ,0.878,,,0.284
2020-05-07,ACLS.OQ,1.0414,-1.707,1.02362,0.15234
2020-05-07,ADEA.OQ,2.55,-1.7,2.50666,0.30735
2020-05-07,AEIS.OQ,3.111,0.342,3.12164,0.30651
2020-05-08,A.N,3.059,-3.886,2.94014,0.25883
2020-05-08,AAOI.OQ,-0.9685,5.133,-0.91879,0.20072
2020-05-08,ACMR.OQ,0.33286,,,0.03926
2020-05-09,ACIW.OQ,,-4.014,0.84276,
2020-05-09,ACMR.OQ,,7.226,0.35691,
2020-05-11,AAON.OQ,0.96755,0.933,0.97658,0.06677
2020-05-11,ACGL.OQ,0.91167,-7.983,0.83889,0.25308
2020-05-12,ADP.OQ,5.73789,-0.002,5.7378,0.04051
2020-05-13,ABR.N,0.1325,92.094,0.25453,0.19879
2020-05-13,ACA.N,2.43571,-1.245,2.40539,0.26704
2020-05-13,ACM.N,2.10511,-0.082,2.10338,0.05974
2020-05-13,ADC.N,1.73767,0.489,1.74617,0.04872
2020-05-13,ADSK.OQ,4.11088,-4.378,3.93089,0.30118
2020-05-13,ADT.N,1.05014,-1.15,1.03807,0.0912
2020-05-14,AAL.OQ,-16.30394,3.664,-15.70651,5.17314
2020-05-14,ACAD.OQ,-1.89544,-0.071,-1.89679,0.06475
2020-05-14,ACHC.OQ,1.89631,-4.569,1.80967,0.2612
2020-05-14,ADBE.OQ,9.73075,0.367,9.76643,0.25084
2020-05-14,ADPT.OQ,-1.066,-2.107,-1.08846,0.10229
2020-05-15,AEP.OQ,4.26992,0.191,4.27807,0.07884
2020-05-15,AES.N,1.385,-0.436,1.37896,0.01893
2020-05-17,ABM.N,1.60667,0.411,1.61328,0.16111
2020-05-17,ADMA.OQ,-0.718,-4.26,-0.74859,0.11179
2020-05-18,ADNT.N,-0.39283,,,1.15732
2020-05-18,ABG.N,5.76875,0.87,5.81894,0.36078
2020-05-18,ADI.OQ,4.1564,,,0.4658
2020-05-18,ADNT.N,-0.39283,17.117,-0.32559,1.15732
2020-05-18,AEE.N,3.43275,-0.032,3.43164,0.05674
2020-05-18,AFG.N,6.85667,-1.382,6.76194,0.77809
2020-05-19,AAP.N,6.68787,-3.346,6.46411,0.96503
2020-05-19,ABBV.N,10.288,0.35,10.324,0.47328
2020-05-19,ADI.OQ,,-5.505,3.92758,
2020-05-19,ADUS.OQ,2.67167,0.362,2.68134,0.12116
2020-05-19,AEO.N,0.20688,-15.698,0.17441,0.50309
2020-05-20,A.N,3.04338,-4.352,2.91093,0.26809
2020-05-20,AAP.N,6.59591,-2.696,6.41806,0.73168
2020-05-20,ADI.OQ,4.23321,-0.998,4.19094,0.24471
2020-05-20,ADSK.OQ,4.08754,-4.082,3.9207,0.3065
2020-05-20,AEP.OQ,4.26564,0.256,4.27657,0.0746
2020-05-20,AES.N,1.38286,-0.394,1.37741,0.0183
2020-05-21,A.N,3.1056,-1.959,3.04475,0.16965
2020-05-21,AAP.N,6.60244,-2.637,6.42836,0.72519
2020-05-21,ABCB.N,2.3,0.308,2.30709,0.18921
2020-05-21,ACGL.OQ,0.88508,-1.47,0.87207,0.19049
2020-05-21,ACN.N,7.59474,0.032,7.59719,0.06196
