Date,RIC,Earnings Per Share - Mean,Earnings Per Share - Predicted Surprise PCT,Earnings Per Share - SmartEstimate®,Earnings Per Share - Standard Deviation
2021-07-02,ABAT.OQ,-0.9,,,0
2021-08-06,AAOI.OQ,-0.85125,-0.198,-0.85294,0.05302
2021-08-09,AAON.OQ,0.95111,0.262,0.9536,0.01571
2021-08-10,ADT.N,0.57217,,,0.15092
2021-08-13,AEVA.OQ,-2.1,,,0.11905
2021-08-14,AEVA.OQ,,1.657,-2.0652,
2021-08-22,ADEA.OQ,1.87233,-0.329,1.86617,0.09269
2021-09-13,ADC.N,1.819,-0.312,1.81333,0.09697
2021-09-21,ACMR.OQ,0.43563,,,0.03254
2021-09-23,AEO.N,2.22418,0.088,2.22614,0.05853
2021-10-01,ACIW.OQ,1.1025,0.972,1.11322,0.03961
2021-10-04,ABM.N,3.53167,-0.081,3.5288,0.03078
2021-10-08,A.N,4.24363,-0.131,4.23806,0.26727
2021-10-08,AEHR.OQ,0.42,0.0,0.42,0.0
2021-10-08,AFG.N,9.026,-0.003,9.02573,0.23346
2021-10-08,AEHR.OQ,0.69,,,0.0
2021-10-12,AEIS.OQ,4.47489,-0.212,4.46539,0.0935
2021-10-13,ADUS.OQ,3.47429,,,0.07706
2021-10-14,ADSK.OQ,4.97842,0.067,4.98174,0.03345
2021-10-15,ACHR.N,-0.66,-6.268,-0.70137,0.41
2021-10-15,ACN.N,10.12704,0.072,10.1343,0.05367
2021-10-15,ADPT.OQ,-1.50571,-0.121,-1.50754,0.03959
2021-10-18,ACLS.OQ,2.452,-0.306,2.44451,0.0644
2021-10-18,ADUS.OQ,,0.689,3.49822,
2021-10-19,ACMR.OQ,,0.645,0.43844,
2021-10-19,AES.N,1.54364,-0.863,1.53032,0.01823
2021-10-20,ACAD.OQ,-1.20557,-0.263,-1.20874,0.08573
2021-10-21,ACM.N,2.79764,-0.201,2.79201,0.04027
2021-10-22,ACT.OQ,3.20813,0.013,3.20856,0.03905
2021-10-23,AEE.N,3.7728,0.558,3.79384,0.0282
2021-10-24,AA.N,6.538,,,0.65452
2021-10-24,AA.N,6.538,-1.534,6.43769,0.65452
2021-10-25,ACI.N,2.57074,0.76,2.59027,0.0812
2021-10-25,ADI.OQ,6.419,0.081,6.42419,0.02582
2021-10-25,ADMA.OQ,-0.5614,1.084,-0.55532,0.03868
2021-10-25,ADNT.N,1.79827,-11.783,1.58638,0.40096
2021-10-27,ABG.N,25.89,2.845,26.62664,1.27531
2021-10-27,ABT.N,5.06686,0.063,5.07005,0.04067
2021-10-27,ADT.N,,-4.906,0.5441,
2021-10-28,AAL.OQ,-8.52836,-1.668,-8.67064,0.44497
2021-10-29,AAP.N,11.4613,0.316,11.49747,0.27181
2021-10-29,ABR.N,1.96,,,0.07
2021-10-29,ACVA.N,-0.71546,-1.445,-0.72579,0.09633
2021-10-31,ABNB.OQ,-1.36422,1.233,-1.34741,0.44466
2021-10-31,ADM.N,4.86429,-0.412,4.84424,0.08592
2021-11-01,AAPL.OQ,5.71544,0.57,5.74799,0.25054
2021-11-01,ABBV.N,12.64795,0.14,12.66569,0.05182
2021-11-01,ABCB.N,5.4,0.229,5.41238,0.07653
2021-11-01,ABR.N,,-0.439,1.95141,
2021-11-01,ACA.N,1.84,0.196,1.8436,0.10263
2021-11-01,ACGL.OQ,3.17818,2.317,3.25181,0.19446
2021-11-01,ACHC.OQ,2.59457,-0.589,2.5793,0.03291
2021-11-01,ADBE.OQ,12.46961,0.102,12.48229,0.02748
2021-11-01,ADP.OQ,6.76505,0.232,6.78071,0.04508
2021-11-01,AEP.OQ,4.68867,-0.083,4.68479,0.03566
2021-11-02,AA.N,,-1.495,6.44023,
2021-11-02,AAPL.OQ,5.72894,0.334,5.74805,0.2442
2021-11-02,ABBV.N,12.65216,0.126,12.66815,0.05016
2021-11-02,ACHC.OQ,2.58807,-0.504,2.57502,0.03423
2021-11-02,ADC.N,1.831,-0.268,1.82609,0.09254
2021-11-02,ADUS.OQ,3.48429,0.483,3.50113,0.10349
2021-11-02,AES.N,1.54909,-0.154,1.54671,0.0124
2021-11-02,ADUS.OQ,3.48429,,,0.10349
2021-11-03,ABBV.N,12.66793,0.05,12.67428,0.04803
2021-11-03,ABG.N,26.12125,1.556,26.52771,0.94625
2021-11-03,ACA.N,1.854,0.434,1.86205,0.10707
2021-11-03,ACGL.OQ,3.27778,0.059,3.27972,0.06391
2021-11-03,ACT.OQ,3.21663,0.113,3.22027,0.03715
2021-11-03,ADPT.OQ,-1.49429,0.088,-1.49298,0.04499
2021-11-03,ADUS.OQ,,0.588,3.50477,
2021-11-03,AFG.N,9.288,0.868,9.36866,0.60651
2021-11-04,ACIW.OQ,1.1175,,,0.02586
