internal_code,currency,target_notional
ARAY.OQ,USD,0.0
ARCB.OQ,USD,-1197.82
ARCT.OQ,USD,0.0
ARDT.N,USD,0.0
ARDX.OQ,USD,224.51
ARE.N,USD,-1418.82
AREN.A,USD,0.0
ARES.N,USD,-1632.32
ARHS.OQ,USD,0.0
ARI.N,USD,0.0
ARKO.OQ,USD,304.81
ARL.N,USD,0.0
ARLO.N,USD,-1771.0
ARMK.N,USD,857.69
AROC.N,USD,3344.44
AROW.OQ,USD,0.0
ARQ.OQ,USD,0.0
ARQT.OQ,USD,1703.57
ARR.N,USD,2083.71
ARRY.OQ,USD,-1421.33
ARVN.OQ,USD,2105.5
ARW.N,USD,776.13
ARWR.OQ,USD,2905.19
AS.N,USD,-2103.37
ASAN.N,USD,-1662.93
ASB.N,USD,306.11
ASC.N,USD,748.42
ASGN.N,USD,-1041.68
ASH.N,USD,-1396.96
ASIC.N,USD,-683.19
ASIX.N,USD,0.0
ASLE.OQ,USD,0.0
ASO.OQ,USD,-1864.38
ASPI.OQ,USD,0.0
ASPN.N,USD,0.0
ASST.OQ,USD,-1089.54
ASTE.OQ,USD,947.0
ASTH.OQ,USD,-1328.28
ASTS.OQ,USD,-1019.69
ASUR.OQ,USD,0.0
ATEC.OQ,USD,-1839.55
ATEN.N,USD,-1743.71
ATEX.OQ,USD,631.48
ATGE.N,USD,1014.22
ATI.N,USD,2083.69
ATKR.N,USD,-393.75
ATLC.OQ,USD,-1413.64
ATLN.OQ,USD,0.0
ATLO.OQ,USD,1193.8
ATMU.N,USD,2013.15
ATNI.OQ,USD,0.0
ATO.N,USD,2886.34
ATOM.OQ,USD,-653.12
ATR.N,USD,1685.77
ATRC.OQ,USD,-3795.58
ATRO.OQ,USD,1801.27
ATYR.OQ,USD,0.0
AU.N,USD,1638.6
AUB.N,USD,-804.66
AUPH.OQ,USD,2524.23
AUR.OQ,USD,-3477.89
AURA.OQ,USD,0.0
AVA.N,USD,1861.04
AVAH.OQ,USD,0.0
AVAV.OQ,USD,-891.63
AVB.N,USD,896.16
AVBH.OQ,USD,2366.51
AVBP.OQ,USD,0.0
AVD.N,USD,0.0
AVGO.OQ,USD,-913.38
AVIR.OQ,USD,0.0
AVNS.N,USD,0.0
AVNT.N,USD,-2301.24
AVNW.OQ,USD,0.0
AVO.OQ,USD,927.65
AVPT.OQ,USD,-1925.89
AVR.OQ,USD,1894.8
AVT.OQ,USD,534.47
AVTR.N,USD,-1134.06
AVXL.OQ,USD,-1298.87
AVY.N,USD,116.74
AWI.N,USD,-1023.68
AWK.N,USD,2275.41
AWR.N,USD,3383.05
AX.N,USD,-925.74
AXGN.OQ,USD,1194.44
AXON.OQ,USD,-1208.3
AXP.N,USD,-1381.42
AXS.N,USD,1121.06
AXSM.OQ,USD,2117.38
AXTA.N,USD,-305.31
AYI.N,USD,-2364.5
AZO.N,USD,1195.35
AZTA.OQ,USD,-1289.21
AZZ.N,USD,953.93
BA.N,USD,-281.18
BAC.N,USD,124.07
BAH.N,USD,-2396.4
BALL.N,USD,1501.3
BALY.N,USD,0.0
BAM.N,USD,-2980.27
BANC.N,USD,-949.73
BAND.OQ,USD,-1695.96
BANF.OQ,USD,-845.08
BANR.OQ,USD,822.17
BARK.N,USD,0.0
BATRA.OQ,USD,1010.31
BATRK.OQ,USD,1152.74
BAX.N,USD,-865.59
BBAI.N,USD,-449.29
BBBY.N,USD,-634.85
BBCP.OQ,USD,274.32
BBIO.OQ,USD,1435.17
BBNX.OQ,USD,-1187.37
BBSI.OQ,USD,0.0
BBT.N,USD,1065.11
BBUC.N,USD,0.0
BBW.N,USD,-1357.8
BBWI.N,USD,-2462.96
BBY.N,USD,-2052.04
BC.N,USD,-2074.92
BCAL.OQ,USD,0.0
BCAX.OQ,USD,377.02
BCBP.OQ,USD,462.45
BCC.N,USD,-2275.92
BCML.OQ,USD,0.0
BCO.N,USD,520.51
BCPC.OQ,USD,1716.79
BCRX.OQ,USD,1369.97
BDC.N,USD,-1989.54
BDN.N,USD,125.19
BDX.N,USD,945.22
BE.N,USD,720.71
BEAM.OQ,USD,50.44
BEEP.OQ,USD,0.0
BELFA.OQ,USD,2392.01
BELFB.OQ,USD,-271.99
BEN.N,USD,-47.49
BEPC.N,USD,1152.95
BETR.OQ,USD,-765.27
BFAM.N,USD,-1201.36
BFC.OQ,USD,0.0
BFH.N,USD,-2642.04
BFLY.N,USD,0.0
BFS.N,USD,0.0
BFST.OQ,USD,2233.95
BFa.N,USD,-1650.73
BFb.N,USD,-4.19
BG.N,USD,2190.99
BGC.OQ,USD,-901.45
BGS.N,USD,0.0
BH.N,USD,0.0
BHB.A,USD,0.0
BHE.N,USD,1567.88
BHF.OQ,USD,-981.48
BHR.N,USD,0.0
BHRB.OQ,USD,0.0
BHVN.N,USD,22.24
BIIB.OQ,USD,1745.11
BILL.N,USD,-1187.82
BIO.N,USD,-934.98
BIOA.OQ,USD,0.0
BIPC.N,USD,1304.28
BIRK.N,USD,-1482.0
BJ.N,USD,1387.52
BJRI.OQ,USD,-2190.05
BK.N,USD,917.14
BKD.N,USD,1828.98
BKE.N,USD,-906.95
BKH.N,USD,2526.62
BKKT.N,USD,0.0
BKNG.OQ,USD,-3549.44
BKR.OQ,USD,475.64
BKSY.N,USD,-895.5
BKTI.A,USD,0.0
BKU.N,USD,875.69
BKV.N,USD,-1021.81
BL.OQ,USD,-1728.25
BLBD.OQ,USD,520.14
BLD.N,USD,-412.67
BLDR.N,USD,-1423.5
BLFS.OQ,USD,315.06
BLFY.OQ,USD,0.0
BLK.N,USD,-755.66
BLKB.OQ,USD,-3829.85
BLMN.OQ,USD,-1394.12
BLND.N,USD,0.0
BLSH.N,USD,-538.12
BLX.N,USD,1695.8
BLZE.OQ,USD,0.0
BMBL.OQ,USD,-1065.25
BMI.N,USD,-1944.98
BMRC.OQ,USD,0.0
BMRN.OQ,USD,912.83
BMY.N,USD,3387.32
BNED.N,USD,0.0
BNL.N,USD,1151.27
BNTC.OQ,USD,0.0
BOC.N,USD,2143.49
BOH.N,USD,906.93
BOKF.OQ,USD,1015.27
BOOM.OQ,USD,0.0
BOOT.N,USD,-3821.26
BORR.N,USD,-1442.25
BOW.N,USD,0.0
BOX.N,USD,-1012.63
BPOP.OQ,USD,906.51
BPRN.OQ,USD,0.0
BR.N,USD,-415.2
BRBR.N,USD,-1338.94
BRBS.A,USD,0.0
BRCB.OQ,USD,-472.88
BRCC.N,USD,42.12
BRKR.OQ,USD,-94.61
BRKb.N,USD,1947.97
BRO.N,USD,-95.88
BROS.N,USD,-2062.06
BRSL.N,USD,-518.2
BRSP.N,USD,0.0
BRT.N,USD,0.0
BRX.N,USD,990.09
BRZE.OQ,USD,-2016.82
BSET.OQ,USD,0.0
BSRR.OQ,USD,0.0
BSVN.OQ,USD,0.0
BSX.N,USD,-1181.37
BSY.OQ,USD,-2222.02
BTBT.OQ,USD,-1975.13
BTDR.OQ,USD,-568.47
BTMD.OQ,USD,-101.09
BTSG.OQ,USD,1000.77
BTU.N,USD,959.42
BULL.OQ,USD,-2328.08
BUR.N,USD,-2337.69
BURL.N,USD,-935.47
BUSE.OQ,USD,728.1
BV.N,USD,508.33
BVFL.OQ,USD,936.0
BVS.OQ,USD,0.0
BWA.N,USD,-1094.87
BWB.OQ,USD,0.0
BWFG.OQ,USD,0.0
BWIN.OQ,USD,-1618.95
BWMN.OQ,USD,0.0
BWXT.N,USD,1710.12
BX.N,USD,-1538.77
BXC.N,USD,0.0
BXMT.N,USD,910.8
BXP.N,USD,-1699.16
BY.N,USD,0.0
BYD.N,USD,-369.99
BYND.OQ,USD,-1985.95
BYRN.OQ,USD,0.0
BZAI.OQ,USD,586.99
BZH.N,USD,-46.03
C.N,USD,856.72
CABO.N,USD,-1634.68
CAC.OQ,USD,0.0
CACC.OQ,USD,-3440.65
CACI.N,USD,3557.93
CADL.OQ,USD,0.0
CAG.N,USD,770.45
CAH.N,USD,1146.38
CAI.OQ,USD,190.75
CAKE.OQ,USD,-988.18
CAL.N,USD,1225.44
CALM.OQ,USD,1156.34
CALX.N,USD,-1484.66
