Date,RIC,Currency,Daily Total Return,Price Close,Volume
2026-02-12,MYRG.OQ,USD,-1.0785653603221,267.81,55280
2026-02-12,MZTI.OQ,USD,1.26201153106983,158.07,69393
2026-02-12,NATL.N,USD,0.072727272727275,41.28,120692
2026-02-12,NAVN.OQ,USD,-4.31519699812384,10.2,424209
2026-02-12,NB.OQ,USD,-7.74299835255355,5.6,1293811
2026-02-12,NBHC.N,USD,-1.90223934505177,40.74,230576
2026-02-12,NBIX.OQ,USD,-10.4336437718277,123.1,1173073
2026-02-12,NBR.N,USD,-9.87584650112866,63.88,247513
2026-02-12,NCLH.N,USD,1.30718954248366,23.25,7588399
2026-02-12,NCNO.OQ,USD,-9.8919840818647,15.85,1763969
2026-02-12,NDAQ.OQ,USD,-1.75329520019895,79.01,2938241
2026-02-12,NDSN.OQ,USD,0.067918633477091,294.67,183591
2026-02-12,NE.N,USD,-3.35905583295507,42.58,1174213
2026-02-12,NEE.N,USD,0.623905429071812,91.93,2646694
2026-02-12,NEM.N,USD,-5.20064205457463,118.12,2227084
2026-02-12,NEO.OQ,USD,-2.44541484716157,11.17,875509
2026-02-12,NEOG.OQ,USD,0.279069767441855,10.78,2213349
2026-02-12,NESR.OQ,USD,-4.06732117812062,20.52,510390
2026-02-12,NET.N,USD,-2.23853017264137,185.17,1539368
2026-02-12,NEU.N,USD,-14.4218642513185,597.13,37807
2026-02-12,NFG.N,USD,0.646602398307074,85.61,221879
2026-02-12,NFLX.OQ,USD,-4.72243154986185,75.86,19359987
2026-02-12,NGVT.N,USD,0.507275397143251,75.29,101943
2026-02-12,NHI.N,USD,1.59773371104816,89.66,109162
2026-02-12,NI.N,USD,1.16435288849083,45.18,1860351
2026-02-12,NIC.N,USD,0.151615029663822,151.93,52448
2026-02-12,NIQ.N,USD,-2.02020202020203,10.67,509569
2026-02-12,NJR.N,USD,1.68401135288553,53.74,212309
2026-02-12,NKE.N,USD,-2.00481154771452,61.1,2818473
2026-02-13,MSFT.OQ,USD,-0.129404738204256,401.32,10564031
2026-02-13,MSGE.N,USD,3.92352452202826,62.51,104744
2026-02-13,MSGS.N,USD,4.77354421279656,291.48,68743
2026-02-13,MSI.N,USD,1.8348623853211,461.76,417154
2026-02-13,MSM.N,USD,2.17296827466319,94.04,195680
2026-02-13,MSTR.OQ,USD,8.84552845528455,133.88,6745726
2026-02-13,MTB.N,USD,-1.16248919619706,228.71,321121
2026-02-13,MTCH.OQ,USD,1.93850267379679,30.5,2036883
2026-02-13,MTD.N,USD,0.223135383527746,1360.95,53093
2026-02-13,MTDR.N,USD,2.04953031596924,47.8,479022
2026-02-13,MTG.N,USD,-2.77169948942378,26.66,974354
2026-02-13,MTH.N,USD,4.93425335242806,80.6,311474
2026-02-13,MTN.N,USD,-1.90608340027752,134.32,228325
2026-02-13,MTRN.N,USD,0.427672955974847,159.68,45870
2026-02-13,MTSI.OQ,USD,2.16327042972509,244.16,484750
2026-02-13,MTZ.N,USD,1.59825097063589,269.53,122312
2026-02-13,MU.OQ,USD,-0.558011450105081,411.66,7716631
2026-02-13,MUR.N,USD,2.18844984802431,33.62,496478
2026-02-13,MUSA.N,USD,5.87792012057272,407.45,149907
2026-02-13,MWA.N,USD,0.735539953192908,30.13,431530
2026-02-13,MXL.OQ,USD,3.49761526232115,19.53,269595
2026-02-13,MYRG.OQ,USD,2.29267017661775,273.95,74430
2026-02-13,MZTI.OQ,USD,1.05649395837288,159.74,58188
2026-02-13,NATL.N,USD,2.32558139534884,42.24,158383
2026-02-13,NAVN.OQ,USD,2.35294117647059,10.44,296307
2026-02-13,NB.OQ,USD,3.57142857142857,5.8,1148517
2026-02-13,NBHC.N,USD,2.70004909180167,41.84,268890
2026-02-13,NBIX.OQ,USD,0.828594638505289,124.12,624449
2026-02-13,NBR.N,USD,6.60613650594864,68.1,113933
2026-02-13,NCLH.N,USD,-7.56989247311829,21.49,8366416
2026-02-13,NCNO.OQ,USD,1.82965299684543,16.14,779267
2026-02-13,NDAQ.OQ,USD,0.582204784204523,79.47,1805567
2026-02-13,NDSN.OQ,USD,1.19455662266263,298.19,157787
2026-02-13,NE.N,USD,7.60920620009395,45.82,1467713
2026-02-13,NEE.N,USD,2.03415642336559,93.8,3135818
2026-02-13,NEM.N,USD,6.50186251269894,125.8,2079795
2026-02-13,NEO.OQ,USD,1.88003581020592,11.38,921002
2026-02-13,NEOG.OQ,USD,1.48423005565863,10.94,1602866
2026-02-13,NESR.OQ,USD,1.51072124756335,20.83,567868
2026-02-13,NET.N,USD,5.76767294918184,195.85,1533690
2026-02-13,NEU.N,USD,-0.725135230184389,592.8,24111
2026-02-13,NFG.N,USD,2.02079196355566,87.34,174242
2026-02-13,NFLX.OQ,USD,1.3313999472713,76.87,10314814
2026-02-13,NGVT.N,USD,1.70009297383449,76.57,65326
2026-02-13,NHI.N,USD,-0.390363595806373,89.31,95138
2026-02-13,NI.N,USD,2.61177512173528,46.36,1801603
2026-02-13,NIC.N,USD,2.14572500493648,155.19,177839
2026-02-13,NIQ.N,USD,0.93720712277413,10.77,476402
2026-02-13,NJR.N,USD,0.911797543729056,54.23,139323
2026-02-13,NKE.N,USD,3.32242225859247,63.13,3751805
2026-02-17,MSFT.OQ,USD,-1.11133260241203,396.86,10367937
2026-02-17,MSGE.N,USD,0.86386178211486,63.05,90124
2026-02-17,MSGS.N,USD,0.789076437491407,293.78,71284
2026-02-17,MSI.N,USD,-0.866250866250866,457.76,407685
2026-02-17,MSM.N,USD,-0.606125053168872,93.47,168418
2026-02-17,MSTR.OQ,USD,-3.89154466686586,128.67,4258856
2026-02-17,MTB.N,USD,-0.153032224214068,228.36,334433
2026-02-17,MTCH.OQ,USD,-1.04918032786885,30.18,1217854
2026-02-17,MTD.N,USD,-0.566516036592089,1353.24,38513
2026-02-17,MTDR.N,USD,-0.857740585774052,47.39,326561
2026-02-17,MTG.N,USD,1.27531882970743,26.85,647990
2026-02-17,MTH.N,USD,-0.558312655086835,80.15,367685
2026-02-17,MTN.N,USD,2.55360333531865,137.75,149340
2026-02-17,MTRN.N,USD,-3.98922845691383,153.31,80905
2026-02-17,MTSI.OQ,USD,0.585681520314551,245.59,445137
2026-02-17,MTZ.N,USD,-0.593625941453629,267.93,130250
2026-02-17,MU.OQ,USD,-2.88587669435944,399.78,6819564
2026-02-17,MUR.N,USD,-3.95597858417607,31.94,598559
2026-02-17,MUSA.N,USD,-5.62277580071174,384.54,93544
2026-02-17,MWA.N,USD,0.066379024228342,30.15,438693
2026-02-17,MXL.OQ,USD,1.48489503328213,19.82,353643
2026-02-17,MYRG.OQ,USD,-1.32505931739368,270.32,42184
2026-02-17,MZTI.OQ,USD,-0.851383498184558,158.38,64072
2026-02-17,NATL.N,USD,0.331439393939395,42.38,149862
2026-02-17,NAVN.OQ,USD,-4.50191570881225,9.97,535703
2026-02-17,NB.OQ,USD,-4.31034482758621,5.55,662047
