index,Instrument,Company Common Name,Company Market Cap,TRBC Economic Sector Name,Book Value Per Share,Enterprise Value To EBITDA (Daily Time Series Ratio),Revenue,Net Income Incl Extra Before Distributions,Free Cash Flow,Dividend yield
42,TW.OQ,Tradeweb Markets Inc,24109948145.25,Financials,30.5222650906,20.804658683409,2052429000,812792000,966305000.0,0.493783616964994
43,QCRH.OQ,QCR Holdings Inc,1541877905.14,Financials,65.9090235748,11.0173683704029,,127194000,,0.259796492747348
44,OKTA.OQ,Okta Inc,15465109084.46,Technology,37.772240209,61.2482068094496,2610000000,28000000,106000000.0,
45,GMGI.OQ,Golden Matrix Group Inc,97703290.4988,Technology,0.9256577141,7.38068333295616,151115530,-1480250,-13381120.0,
46,KW.N,Kennedy-Wilson Holdings Inc,1363874456.66,Real Estate,11.6215258355,32.7103722833,531400000,-33000000,-220800000.0,4.85338725985844
47,BHE.N,Benchmark Electronics Inc,2113263320.05,Technology,30.6531118482,12.1008029019193,2659108000,24852000,33938000.0,1.14806685801114
48,LYV.N,Live Nation Entertainment Inc,36751757522.69,Consumer Cyclicals,0.7529106232,19.1047401558591,23155625000,896287000,1025891000.0,
49,PTGX.OQ,Protagonist Therapeutics Inc,5094401622.34,Healthcare,10.9684589096,220.964623549492,434433000,275188000,276728000.0,
0,BZH.N,Beazer Homes USA Inc,817633594.26,Consumer Cyclicals,41.9687478997,49.098081121591,2371555000,45588000,36255000.0,
1,CDW.OQ,CDW Corp,16516367707.6,Technology,19.84843869,10.7261921811659,22424100000,1066600000,,1.9864417468075
2,AMPL.OQ,Amplitude Inc,847570343.16,Technology,2.3935108959,,299272000,-94319000,-89937000.0,
3,TCBK.OQ,Trico Bancshares,1626449192.2,Financials,40.6464556807,8.52323527679491,,121558000,,2.86282306163022
4,FNB.N,FNB Corp,6456470902.05,Financials,18.7687901372,10.7752377594021,,565387000,,2.65633646928611
5,LADR.N,Ladder Capital Corp,1320684342.42,Real Estate,11.8256484169,48.4512039810264,390140000,64182000,-21723000.0,8.86319845857418
6,EVGO.OQ,EVgo Inc,899309580.36,Utilities,-2.4002267999,,256825000,-44334000,-157538000.0,
7,VCYT.OQ,Veracyte Inc,2827588918.21,Healthcare,15.3751675497,34.9666257240077,445764000,24138000,36300000.0,
8,VLO.N,Valero Energy Corp,61053759421.63,Energy,,11.4080273386071,122687000000,2348000000,,2.39796173252735
9,DT.N,Dynatrace Inc,11094941440.8,Technology,8.7844790605,35.9514125651411,1698683000,483684000,502986000.0,
10,RRC.N,Range Resources Corp,8901678494.41,Energy,16.3557827736,8.81975552759346,2360358000,266340000,-88495000.0,0.958211338834176
11,WNEB.OQ,Western New England Bancorp Inc,286237643.3,Financials,12.2623655105,13.5120367904374,,15269000,,1.99288256227758
12,NEO.OQ,Neogenomics Inc,1472433175.38,Healthcare,7.1242163938,3532.74555755889,660566000,-78726000,-47240000.0,
13,CPAY.N,Corpay Inc,23584259838.72,Industrials,55.375393872,12.6814806991996,4528403000,1069826000,1264495000.0,
14,SBRA.OQ,Sabra Health Care REIT Inc,5085779111.89,Real Estate,11.6937300049,16.7347622490424,774632000,155609000,-399924000.0,5.9494298463064
15,ACAD.OQ,ACADIA Pharmaceuticals Inc,3727075428.51,Healthcare,4.4219542956,26.5545780717882,957797000,226451000,241811000.0,
16,TLSI.OQ,TriSalus Life Sciences Inc,243326194.57,Healthcare,,,45200000,,,
17,NU.N,Nu Holdings Ltd,81502583425.38,Financials,1.5956092979,31.7627402176852,11517075000,1972112000,1874250000.0,
18,BHF.OQ,Brighthouse Financial Inc,3650632880.16,Financials,81.0304047844,0.138696478071279,,388000000,,
19,JBHT.OQ,J B Hunt Transport Services Inc,20977387200.0,Industrials,36.4946052739,14.195552373827,11999096000,598282000,,0.811688311688312
20,DBX.OQ,Dropbox Inc,6346875544.13,Technology,-2.3645505971,9.4915810852069,2548200000,452300000,566900000.0,
21,NSP.N,Insperity Inc,968865902.64,Industrials,1.2105263158,19.3675972182857,6812000000,-7000000,-83000000.0,9.34579439252336
22,DNA.N,Ginkgo Bioworks Holdings Inc,535013134.51,Healthcare,13.7983036398,,227043000,-547029000,-546550000.0,
23,ATLO.OQ,Ames National Corp,245964999.4,Financials,,10.7406719189146,,,,2.88080662585524
24,STRL.OQ,Sterling Infrastructure Inc,13448019918.21,Industrials,26.2108660396,31.4102459355012,2115756000,257461000,258374000.0,
25,VRT.N,Vertiv Holdings Co,89720314570.4,Industrials,10.3253189353,41.088422882534,10229900000,1332800000,1348400000.0,0.106596171065535
26,MH.N,McGraw Hill Inc,2610990764.73,Consumer Cyclicals,1.4672343969,7.4719356829826,2101299000,-85839000,148801000.0,
27,METC.OQ,Ramaco Resources Inc,1056316488.8,Basic Materials,7.0274468786,29.0531555788249,666295000,11192000,-16637000.0,3.3373786407767
28,ABCB.N,Ameris Bancorp,5739838398.88,Financials,59.5485589888,9.9752368110228,,412154000,,0.952154248988336
29,GM.N,General Motors Co,73293713521.24,Consumer Cyclicals,63.9989528796,6.87227595277826,185019000000,2696000000,-10994000000.0,0.888011840157869
30,OABI.OQ,OmniAb Inc,244724180.0,Healthcare,2.8097298881,,26391000,-62033000,-40325000.0,
31,HUBB.N,Hubbell Inc,27863058840.24,Industrials,72.3289473684,20.5896421769428,5844600000,887100000,656300000.0,1.08372128520186
32,PYPL.OQ,PayPal Holdings Inc,37093574397.18,Industrials,21.1220020855,5.17347117776601,33172000000,5233000000,5214000000.0,1.38992305783073
33,LULU.OQ,Lululemon Athletica Inc,20695124872.84,Consumer Cyclicals,34.9460298218,6.69413528613736,10588126000,1814616000,1571419000.0,
34,NCNO.OQ,nCino Inc,1851015383.52,Technology,9.4589386898,37.7882518423697,540657000,-37878000,1030000.0,
35,ALK.N,Alaska Air Group Inc,6336232941.5,Industrials,34.8478052991,7.24109187657525,14239000000,100000000,-693000000.0,
36,FIBK.OQ,First Interstate Bancsystem Inc,3874860523.24,Financials,33.6063176367,9.0460706496101,,302100000,,4.99203398831652
37,MKL.N,Markel Group Inc,25959069200.0,Financials,,8.40147461448804,,2107010000,,
38,CIA.N,Citizens Inc,300775151.04,Financials,4.2292613294,8.37714672459571,,14912000,15465000.0,
39,TNXP.OQ,Tonix Pharmaceuticals Holding Corp,193700433.28,Healthcare,189.5292935329,,10094000,-130036000,-126735000.0,
40,ENR.N,Energizer Holdings Inc,1559033687.97,Industrials,2.3963328632,8.25840906161866,2952700000,239000000,194700000.0,5.27009222661397
