Date,RIC,Price Target - Mean,Recommendation - Mean (1-5),Revenue - Mean
2022-03-28,NG.L,,,15584825790
2022-03-28,NSISb.CO,,,2173811980
2022-03-28,RAND.AS,,,26468380580
2022-03-28,SASY.PA,107.65385,,40870730370
2022-03-28,ULVR.L,4640.9375,,55718377330
2022-03-29,AAK.ST,,,41662858750
2022-03-29,ANTO.L,1561.40708,,6607527130
2022-03-29,EQNR.OL,295.92212,,123643407330
2022-03-29,GALP.LS,12.61111,,20707564460
2022-03-29,ICAG.L,,,19941946930
2022-03-29,KYGa.I,,,7626408600
2022-03-29,LHAG.DE,,,27800656760
2022-03-29,NSISb.CO,447.77778,3.2,2177142110
2022-03-29,OREP.PA,397.96,,35748407620
2022-03-29,REP.MC,14.26462,,59290490850
2022-03-29,SDR.L,590.58003,,2540206600
2022-03-29,SSE.L,,,8383929310
2022-03-29,SUBC.OL,,,4847086500
2022-03-29,ULVR.L,,,55779852980
2022-03-29,VEND.OL,,,15564367500
2022-03-29,EQNR.OL,295.92212,,
2022-03-29,GALP.LS,12.61111,,
2022-03-29,NSISb.CO,447.77778,,
2022-03-29,OREP.PA,397.96,,
2022-03-30,AAK.ST,215.88889,,42471358750
2022-03-30,ANTO.L,1561.40708,2.94444,6608060470
2022-03-30,BAWG.VI,65.9125,,1264932860
2022-03-30,EDP.LS,5.61842,,15175896440
2022-03-30,HLMA.L,2846.33333,2.83333,1496368880
2022-03-30,MBGn.DE,89.28,,141289009330
2022-03-30,SASY.PA,107.84615,,40901137780
2022-03-30,SSE.L,1826.2,,
2022-03-30,TKAG.DE,13.41667,,36410296290
2022-03-30,ULVR.L,,,55848594230
2022-03-30,ANTO.L,,2.94444,
2022-03-30,ANTO.L,1561.40708,2.94444,
2022-03-30,EDP.LS,5.61842,,
2022-03-30,HLMA.L,2846.33333,,1496368880
2022-03-31,GFCP.PA,,2.36842,
2022-03-31,BAWG.VI,65.9625,,1268418570
2022-03-31,BKGH.L,5155.05292,2.45,
2022-03-31,BYG.L,1594.8,,
2022-03-31,DANSKE.CO,134.35,,
2022-03-31,DRX.L,,,5583119890
2022-03-31,EQNR.OL,,,126984367330
2022-03-31,EXHO.PA,,,20525167760
2022-03-31,GFCP.PA,132.82,2.36842,626091430
2022-03-31,INPST.AS,,2.36364,
2022-03-31,MBGn.DE,89.70833,1.82759,141504879300
2022-03-31,NSISb.CO,,3.25,2183672990
2022-03-31,OREP.PA,,,35749292230
2022-03-31,RAND.AS,,,26478068260
2022-03-31,REP.MC,14.27231,,59870675850
2022-03-31,SDR.L,586.04669,,2533301470
2022-03-31,ULVR.L,,,55939953980
2022-03-31,WALLb.ST,72.5,,
2022-03-31,BAWG.VI,,,1268418570
2022-03-31,BKGH.L,,2.45,
2022-03-31,GFCP.PA,132.82,2.36842,
2022-03-31,NSISb.CO,,3.25,
2022-04-01,MBGn.DE,89.70833,1.82759,
2022-04-01,NSISb.CO,,,2183851460
2022-04-01,OREP.PA,,2.68966,
2022-04-01,RAND.AS,65.96875,,
2022-04-01,REP.MC,14.31077,,
2022-04-01,ULVR.L,4615.9375,,
2022-04-01,MBGn.DE,,1.82759,
2022-04-01,AAK.ST,214.33333,,42613483750
2022-04-01,DANSKE.CO,135.35,,43036337440
2022-04-01,EQNR.OL,296.72212,,127649826730
2022-04-01,EXHO.PA,91.555,,20520120140
2022-04-01,GALP.LS,,,20886323310
2022-04-01,INPST.AS,,,6850303600
2022-04-01,INWT.MI,,,855678820
2022-04-01,KYGa.I,128.70833,,7622608600
2022-04-01,LGEN.L,328.0,,
2022-04-01,LHAG.DE,,2.92,
2022-04-01,MBGn.DE,89.70833,1.82759,140985705390
2022-04-01,NSISb.CO,447.5,,2183851460
2022-04-01,OREP.PA,397.56,2.68966,35763656890
2022-04-01,RAND.AS,65.96875,,26469442050
2022-04-01,REP.MC,14.31077,,60267011400
2022-04-01,SDR.L,584.70936,,2533907630
2022-04-01,TUI1n.DE,13.77221,,
2022-04-01,ULVR.L,4615.9375,,56024681360
2022-04-01,VOWG_p.DE,238.6087,,265840834000
2022-04-02,RAND.AS,,,26660299940
2022-04-04,DANSKE.CO,,2.65217,
2022-04-04,NSISb.CO,,3.14286,
2022-04-04,OREP.PA,396.96,,
2022-04-04,VOWG_p.DE,237.08696,,
2022-04-04,ANTO.L,,,6647927130
2022-04-04,BAWG.VI,65.424,,
2022-04-04,DANSKE.CO,135.65,2.65217,43024781890
2022-04-04,EDP.LS,,,15125213930
2022-04-04,EXHO.PA,90.605,,20490960950
2022-04-04,GFCP.PA,,,626903080
2022-04-04,HLMA.L,,2.88889,
2022-04-04,INPST.AS,13.2,,6787223600
2022-04-04,KYGa.I,127.875,,7639359470
2022-04-04,NG.L,1022.76178,,
2022-04-04,NSISb.CO,451.84211,3.14286,
2022-04-04,OREP.PA,396.96,,35767695350
2022-04-04,REP.MC,,,60967117260
2022-04-04,SUBC.OL,94.33353,,
2022-04-04,ULVR.L,,,56051824220
2022-04-04,VOWG_p.DE,237.08696,2.1,265361544710
2022-04-05,AM.PA,153.90909,,
2022-04-05,ANTO.L,1574.74041,,6621393800
2022-04-05,ASRNL.AS,47.32867,,6009324500
2022-04-05,BAWG.VI,65.9625,,
2022-04-05,BYG.L,1597.0,,
2022-04-05,EDP.LS,5.61842,,
2022-04-05,EQNR.OL,300.00212,,127333760070
2022-04-05,GALP.LS,,,20670564850
2022-04-05,LGEN.L,327.3125,,12599395000
2022-04-05,RAND.AS,,,26661633280
2022-04-05,REP.MC,,,60794538320
2022-04-05,SAMPO.HE,9.69882,,4853488000
2022-04-05,SASY.PA,108.42308,,40951418570
2022-04-05,SDR.L,581.58136,,2545395750
2022-04-05,WALLb.ST,71.25,,2524428570
2022-04-05,ASRNL.AS,,,6009324500
2022-04-05,EQNR.OL,,,127333760070
2022-04-05,LGEN.L,327.3125,,
2022-04-05,WALLb.ST,,,2524428570
2022-04-06,ANTO.L,1602.07374,,6648393800
2022-04-06,DANSKE.CO,135.4,,43019559670
2022-04-06,EQNR.OL,303.60212,,
2022-04-06,GALP.LS,12.75,,
2022-04-06,INPST.AS,12.20909,,6774123600
2022-04-06,MBGn.DE,,,141199419220
2022-04-06,NG.L,,2.375,
2022-04-06,OREP.PA,,,35795217310
2022-04-06,RAND.AS,66.03125,2.89474,26711572060
2022-04-06,REP.MC,14.47231,2.16129,
2022-04-06,RR.L,123.26667,,12061554110
2022-04-06,SDR.L,583.62136,,2545727630
2022-04-06,ULVR.L,4558.9375,,56099668840
2022-04-06,ANTO.L,1602.07374,,
2022-04-06,INPST.AS,,,6774123600
2022-04-06,REP.MC,,2.16129,
2022-04-06,RR.L,123.26667,,
2022-04-06,SDR.L,583.62136,,
2022-04-06,ULVR.L,4558.9375,,
2022-04-07,BAWG.VI,64.9625,,1269937140
2022-04-07,BKGH.L,5124.15594,,
2022-04-07,EDP.LS,,,15166199670
2022-04-07,EQNR.OL,,,127686960070
