Date,RIC,0
2016-09-07,Price Close,2186.16
2016-09-08,Price Close,2181.3
2016-09-09,Price Close,2127.81
2016-09-12,Price Close,2159.04
2016-09-13,Price Close,2127.02
2016-09-14,Price Close,2125.77
2016-09-15,Price Close,2147.26
2016-09-16,Price Close,2139.16
2016-09-19,Price Close,2139.12
2016-09-20,Price Close,2139.76
2016-09-21,Price Close,2163.12
2016-09-22,Price Close,2177.18
2016-09-23,Price Close,2164.69
2016-09-26,Price Close,2146.1
2016-09-27,Price Close,2159.93
2016-09-28,Price Close,2171.37
2016-09-29,Price Close,2151.13
2016-09-30,Price Close,2168.27
2016-10-03,Price Close,2161.2
2016-10-04,Price Close,2150.49
2016-10-05,Price Close,2159.73
2016-10-06,Price Close,2160.77
2016-10-07,Price Close,2153.74
2016-10-10,Price Close,2163.66
2016-10-11,Price Close,2136.73
2016-10-12,Price Close,2139.18
2016-10-13,Price Close,2132.55
2016-10-14,Price Close,2132.98
2016-10-17,Price Close,2126.5
2016-10-18,Price Close,2139.6
2016-10-19,Price Close,2144.29
2016-10-20,Price Close,2141.34
2016-10-21,Price Close,2141.16
2016-10-24,Price Close,2151.33
2016-10-25,Price Close,2143.16
2016-10-26,Price Close,2139.43
2016-10-27,Price Close,2133.04
2016-10-28,Price Close,2126.41
2016-10-31,Price Close,2126.15
2016-11-01,Price Close,2111.72
2016-11-02,Price Close,2097.94
2016-11-03,Price Close,2088.66
2016-11-04,Price Close,2085.18
2016-11-07,Price Close,2131.52
2016-11-08,Price Close,2139.56
2016-11-09,Price Close,2163.26
2016-11-10,Price Close,2167.48
2016-11-11,Price Close,2164.45
2016-11-14,Price Close,2164.2
2016-11-15,Price Close,2180.39
2016-11-16,Price Close,2176.94
2016-11-17,Price Close,2187.12
2016-11-18,Price Close,2181.9
2016-11-21,Price Close,2198.18
2016-11-22,Price Close,2202.94
2016-11-23,Price Close,2204.72
2016-11-25,Price Close,2213.35
2016-11-28,Price Close,2201.72
2016-11-29,Price Close,2204.66
2016-11-30,Price Close,2198.81
2016-12-01,Price Close,2191.08
2016-12-02,Price Close,2191.95
2016-12-05,Price Close,2204.71
2016-12-06,Price Close,2212.23
2016-12-07,Price Close,2241.35
2016-12-08,Price Close,2246.19
2016-12-09,Price Close,2259.53
2016-12-12,Price Close,2256.96
2016-12-13,Price Close,2271.72
2016-12-14,Price Close,2253.28
2016-12-15,Price Close,2262.03
2016-12-16,Price Close,2258.07
2016-12-19,Price Close,2262.53
2016-12-20,Price Close,2270.76
2016-12-21,Price Close,2265.18
2016-12-22,Price Close,2260.96
2016-12-23,Price Close,2263.79
2016-12-27,Price Close,2268.88
2016-12-28,Price Close,2249.92
2016-12-29,Price Close,2249.26
2016-12-30,Price Close,2238.83
2017-01-03,Price Close,2257.83
2017-01-04,Price Close,2270.75
2017-01-05,Price Close,2269.0
2017-01-06,Price Close,2276.98
2017-01-09,Price Close,2268.9
2017-01-10,Price Close,2268.9
2017-01-11,Price Close,2275.32
2017-01-12,Price Close,2270.44
2017-01-13,Price Close,2274.64
2017-01-17,Price Close,2267.89
2017-01-18,Price Close,2271.89
2017-01-19,Price Close,2263.69
2017-01-20,Price Close,2271.31
2017-01-23,Price Close,2265.2
2017-01-24,Price Close,2280.07
2017-01-25,Price Close,2298.37
2017-01-26,Price Close,2296.68
2017-01-27,Price Close,2294.69
2017-01-30,Price Close,2280.9
2017-01-31,Price Close,2278.87
2017-02-01,Price Close,2279.55
2017-02-02,Price Close,2280.85
2017-02-03,Price Close,2297.42
2017-02-06,Price Close,2292.56
2017-02-07,Price Close,2293.08
2017-02-08,Price Close,2294.67
2017-02-09,Price Close,2307.87
2017-02-10,Price Close,2316.1
2017-02-13,Price Close,2328.25
2017-02-14,Price Close,2337.58
2017-02-15,Price Close,2349.25
2017-02-16,Price Close,2347.22
2017-02-17,Price Close,2351.16
2017-02-21,Price Close,2365.38
2017-02-22,Price Close,2362.82
2017-02-23,Price Close,2363.81
2017-02-24,Price Close,2367.34
2017-02-27,Price Close,2369.75
2017-02-28,Price Close,2363.64
2017-03-01,Price Close,2395.96
2017-03-02,Price Close,2381.92
2017-03-03,Price Close,2383.12
2017-03-06,Price Close,2375.31
2017-03-07,Price Close,2368.39
2017-03-08,Price Close,2362.98
2017-03-09,Price Close,2364.87
2017-03-10,Price Close,2372.6
2017-03-13,Price Close,2373.47
2017-03-14,Price Close,2365.45
2017-03-15,Price Close,2385.26
2017-03-16,Price Close,2381.38
2017-03-17,Price Close,2378.25
2017-03-20,Price Close,2373.47
2017-03-21,Price Close,2344.02
2017-03-22,Price Close,2348.45
2017-03-23,Price Close,2345.96
2017-03-24,Price Close,2343.98
2017-03-27,Price Close,2341.59
2017-03-28,Price Close,2358.57
2017-03-29,Price Close,2361.13
2017-03-30,Price Close,2368.06
2017-03-31,Price Close,2362.72
2017-04-03,Price Close,2358.84
2017-04-04,Price Close,2360.16
2017-04-05,Price Close,2352.95
2017-04-06,Price Close,2357.49
2017-04-07,Price Close,2355.54
2017-04-10,Price Close,2357.16
2017-04-11,Price Close,2353.78
2017-04-12,Price Close,2344.93
2017-04-13,Price Close,2328.95
2017-04-17,Price Close,2349.01
2017-04-18,Price Close,2342.19
2017-04-19,Price Close,2338.17
2017-04-20,Price Close,2355.84
2017-04-21,Price Close,2348.69
2017-04-24,Price Close,2374.15
2017-04-25,Price Close,2388.61
2017-04-26,Price Close,2387.45
2017-04-27,Price Close,2388.77
2017-04-28,Price Close,2384.2
2017-05-01,Price Close,2388.33
2017-05-02,Price Close,2391.17
2017-05-03,Price Close,2388.13
2017-05-04,Price Close,2389.52
2017-05-05,Price Close,2399.29
2017-05-08,Price Close,2399.38
2017-05-09,Price Close,2396.92
2017-05-10,Price Close,2399.63
2017-05-11,Price Close,2394.44
2017-05-12,Price Close,2390.9
2017-05-15,Price Close,2402.32
2017-05-16,Price Close,2400.67
2017-05-17,Price Close,2357.03
2017-05-18,Price Close,2365.72
2017-05-19,Price Close,2381.73
2017-05-22,Price Close,2394.02
2017-05-23,Price Close,2398.42
2017-05-24,Price Close,2404.39
2017-05-25,Price Close,2415.07
