Date,RIC,0
2026-03-24,Price Close,6556.37
2026-03-25,Price Close,6591.9
2026-03-26,Price Close,6477.16
2026-03-27,Price Close,6368.85
2026-03-30,Price Close,6343.72
2026-03-31,Price Close,6528.52
2026-04-01,Price Close,6575.32
2026-04-02,Price Close,6582.69
2026-04-06,Price Close,6611.83
2026-04-07,Price Close,6616.85
2026-04-08,Price Close,6782.81
2026-04-09,Price Close,6824.66
2026-04-10,Price Close,6816.89
2026-04-13,Price Close,6886.24
2026-04-14,Price Close,6967.38
2026-04-15,Price Close,7022.95
2026-04-16,Price Close,7041.28
2026-04-17,Price Close,7126.06
2026-04-20,Price Close,7109.14
2026-04-21,Price Close,7064.01
2026-04-22,Price Close,7137.9
2026-04-23,Price Close,7108.4
2026-04-24,Price Close,7165.08
2026-04-27,Price Close,7173.91
2026-04-28,Price Close,7138.8
2026-04-29,Price Close,7135.95
2026-04-30,Price Close,7209.01
2026-05-01,Price Close,7230.12
2026-05-04,Price Close,7200.75
2026-05-05,Price Close,7259.22
2026-05-06,Price Close,7365.12
2026-05-07,Price Close,7337.11
2026-05-08,Price Close,7398.93
