Date,RIC,0
2026-03-24,Price Close,5581.29
2026-03-25,Price Close,5649.33
2026-03-26,Price Close,5565.93
2026-03-27,Price Close,5505.8
2026-03-30,Price Close,5541.79
2026-03-31,Price Close,5569.73
2026-04-01,Price Close,5732.71
2026-04-02,Price Close,5692.86
2026-04-07,Price Close,5633.22
2026-04-08,Price Close,5913.37
2026-04-09,Price Close,5896.29
2026-04-10,Price Close,5926.11
2026-04-13,Price Close,5905.02
2026-04-14,Price Close,5984.51
2026-04-15,Price Close,5940.34
2026-04-16,Price Close,5933.28
2026-04-17,Price Close,6057.71
2026-04-20,Price Close,5982.63
2026-04-21,Price Close,5930.25
2026-04-22,Price Close,5906.22
2026-04-23,Price Close,5894.73
2026-04-24,Price Close,5883.48
2026-04-27,Price Close,5860.32
2026-04-28,Price Close,5836.1
2026-04-29,Price Close,5816.48
2026-04-30,Price Close,5881.51
2026-05-01,Price Close,5881.51
2026-05-04,Price Close,5763.61
2026-05-05,Price Close,5869.63
2026-05-06,Price Close,6027.13
2026-05-07,Price Close,5972.65
2026-05-08,Price Close,5911.53
2026-05-11,Price Close,5895.45
2026-05-12,Price Close,5808.45
2026-05-13,Price Close,5861.07
2026-05-14,Price Close,5934.96
2026-05-15,Price Close,5827.76
2026-05-18,Price Close,5849.0
2026-05-19,Price Close,5851.16
2026-05-20,Price Close,5976.07
2026-05-21,Price Close,5960.32
2026-05-22,Price Close,6019.45
2026-05-25,Price Close,6136.66
2026-05-26,Price Close,6064.15
2026-05-27,Price Close,6070.54
2026-05-28,Price Close,6055.11
2026-05-29,Price Close,6050.54
2026-06-01,Price Close,6034.95
2026-06-02,Price Close,6107.85
