Date,RIC,Earnings Per Share - Mean,Earnings Per Share - Standard Deviation,Earnings Per Share - Predicted Surprise PCT,Earnings Per Share - SmartEstimate®
2022-02-09,AAK.ST,7.57625,0.36517,0.521,7.61575
2022-02-24,BMPS.MI,1.61635,1.05144,,
2022-02-24,BMPS.MI,1.61635,1.05144,20.716,1.9512
2022-03-02,ASRNL.AS,5.64693,0.69585,0.997,5.70323
2022-03-06,SFZN.S,2.79964,0.17813,3.021,2.88421
2022-03-07,TUI1n.DE,0.40337,0.58694,,
2022-03-08,EDP.LS,0.22956,0.01896,,
2022-03-09,LPPP.WA,,,0.0,381.0
2022-03-09,RR.L,0.04302,0.0191071,-8.985,0.0391547
2022-03-09,SSE.L,0.8634011,0.0792964,9.45,0.944994
2022-03-10,CPG.L,0.74025,0.0226,1.414,0.75071
2022-03-11,SAF.PA,3.85,0.27483,-1.163,3.80522
2022-03-14,GBLB.BR,3.267,0.2654,3.389,3.37771
2022-03-14,GL9.I,0.97309,0.05474,-4.592,0.9284
2022-03-14,INPST.AS,1.3083,0.2604,-2.367,1.27734
2022-03-14,LPPP.WA,381.0,0.0,,
2022-03-14,PKO.WA,4.71669,0.21691,-0.271,4.70389
2022-03-14,UMI.BR,2.234,0.18053,0.062,2.23538
2022-03-14,GBLB.BR,3.267,0.2654,,
2022-03-14,INPST.AS,1.3083,0.2604,,
2022-03-14,INPST.AS,1.8463,0.42696,,
2022-03-15,ADSGn.DE,9.83686,0.69714,-1.702,9.66943
2022-03-15,BIRG.I,0.694,0.10564,1.848,0.70683
2022-03-15,EDP.LS,,,-1.328,0.22651
2022-03-15,SUBC.OL,0.21824,0.10316,-18.987,0.1768
2022-03-15,TEPRF.PA1,13.16484,1.0795,-3.096,12.75729
2022-03-15,TUI1n.DE,,,-55.2,0.11109
2022-03-16,SAMPO.HE,0.51965,0.0556,-4.13,0.49819
2022-03-17,FORTUM.HE,1.70265,0.16897,-0.505,1.69405
2022-03-17,HEIG.DE,8.11805,0.46324,1.675,8.25402
2022-03-17,LGEN.L,0.3329524,0.0237713,0.086,0.333238
2022-03-17,UBSG.S,2.15744,0.22168,3.252,2.22761
2022-03-18,AIR.PA,5.11592,0.34853,0.577,5.14545
2022-03-18,BKWB.S,6.1758,0.71997,-2.511,6.02075
2022-03-18,BYG.L,0.5138677,0.0186705,0.982,0.5189117
2022-03-18,ELI.BR,3.69754,0.00896,0.242,3.70649
2022-03-18,ENEI.MI,0.56164,0.02072,-0.807,0.55711
2022-03-18,HNRGn.DE,12.75529,0.84407,-0.624,12.67565
2022-03-18,MWDP.PA1,6.741,6.68424,140.172,16.19
2022-03-18,NSISb.CO,1.49765,0.03934,0.316,1.50239
2022-03-19,RACE.MI,4.7374,0.29096,1.216,4.79498
2022-03-20,HIAB.HE,3.56256,0.25879,-1.295,3.51642
2022-03-20,SDR.L,0.4082443,0.022237,-0.861,0.4047305
2022-03-20,SHLG.DE,2.17105,0.19336,2.626,2.22806
2022-03-21,PRU.L,1.1471,0.05769,,
2022-03-21,EMSN.S,26.28571,0.99989,-0.723,26.09566
2022-03-21,EXPN.L,1.24024,0.03265,0.278,1.24368
2022-03-21,ITPG.MI,2.26471,0.16342,-0.34,2.25701
2022-03-21,KBX.DE,3.84994,0.24699,-2.085,3.76967
2022-03-21,LEGn.DE,6.26392,0.67726,-2.536,6.10504
2022-03-21,LIGHT.AS,4.0318,0.42854,2.421,4.1294
2022-03-21,MBGn.DE,10.6635,0.82936,-1.907,10.46017
2022-03-21,MONC.MI,1.8324,0.08672,1.248,1.85527
2022-03-21,PRU.L,1.1471,0.05769,-1.242,1.13286
2022-03-21,SASY.PA,7.45284,0.20123,1.138,7.53767
2022-03-21,TKAG.DE,1.67127,0.24069,2.305,1.7098
2022-03-21,URW.PA,8.31779,0.37458,0.787,8.38325
2022-03-21,VIE.PA,1.59832,0.16643,-0.293,1.59365
2022-03-22,BYG.L,0.5151629,0.0185875,,
2022-03-22,ADSGn.DE,9.83077,0.69402,-1.526,9.68079
2022-03-22,AIR.PA,5.08988,0.32586,1.035,5.14254
2022-03-22,BIRG.I,0.6965,0.10397,-0.071,0.69601
2022-03-22,BYG.L,0.5151629,0.0185875,0.976,0.5201887
2022-03-22,EMSN.S,26.28571,0.99989,-0.721,26.09613
2022-03-22,ENEI.MI,0.55832,0.02966,-1.211,0.55156
2022-03-22,EXPN.L,1.24133,0.03205,0.372,1.24595
2022-03-22,KBX.DE,3.85931,0.253,-0.887,3.82507
2022-03-22,MWDP.PA1,7.05575,5.81434,75.845,12.40715
2022-03-22,NSISb.CO,1.49866,0.03894,0.303,1.50321
2022-03-22,RR.L,0.0419693,0.0168397,-7.103,0.0389883
2022-03-22,SAMPO.HE,0.5268,0.05946,-2.803,0.51204
2022-03-22,SFZN.S,2.79964,0.17813,3.005,2.88377
2022-03-22,SHLG.DE,2.16947,0.19267,2.575,2.22534
2022-03-22,SSE.L,0.8662558,0.0806883,8.765,0.9421831
2022-03-22,UBSG.S,2.15744,0.22168,3.317,2.229
