Date,RIC,Earnings Per Share - Mean,Earnings Per Share - Standard Deviation,Earnings Per Share - Predicted Surprise PCT,Earnings Per Share - SmartEstimate®
2020-01-27,MWDP.PA1,2.52367,0.32287,,
2020-02-05,BYG.L,0.4277053,0.0066052,,
2020-03-03,SSE.L,0.8593483,0.0535248,,
2020-03-06,TKAG.DE,-0.4868,0.35713,,
2020-03-11,LEGn.DE,5.67164,1.02177,,
2020-03-11,LGEN.L,0.3415513,0.0520289,,
2020-03-12,GL9.I,1.01147,0.02705,-1.415,0.99715
2020-03-12,LGEN.L,,,-2.344,0.3335462
2020-03-12,SFZN.S,1.67248,0.07342,-0.941,1.65675
2020-03-13,BMPS.MI,0.27776,3.7692,,
2020-03-13,GBLB.BR,3.72317,0.81165,,
2020-03-13,SSE.L,,,0.088,0.8601021
2020-03-15,AAK.ST,6.435,0.25676,-0.428,6.40748
2020-03-15,GBLB.BR,,,-8.793,3.39579
2020-03-15,MWDP.PA1,,,-8.506,2.309
2020-03-16,ASRNL.AS,4.81447,0.7036,6.564,5.13049
2020-03-16,EXPN.L,1.04165,0.02006,0.08,1.04248
2020-03-16,TEPRF.PA1,9.3198,0.31985,-0.913,9.23472
2020-03-17,ITPG.MI,1.6655,0.08347,1.759,1.69479
2020-03-17,NSISb.CO,1.48045,0.05307,-0.14,1.47838
2020-03-17,SAMPO.HE,0.53958,0.03688,-1.611,0.53089
2020-03-17,UMI.BR,1.55311,0.10862,0.566,1.56189
2020-03-18,KBX.DE,3.76143,0.2036,-1.073,3.72108
2020-03-18,PKO.WA,3.57143,0.13658,-0.681,3.54712
2020-03-18,SDR.L,0.3164855,0.044634,-4.928,0.3008907
2020-03-19,ADSGn.DE,8.91856,1.51908,-8.579,8.15343
2020-03-19,BIRG.I,0.44427,0.39933,-1.189,0.43899
2020-03-19,BMPS.MI,,,-68.254,-1.14437
2020-03-19,CPG.L,0.84331,0.2287,-16.786,0.70175
2020-03-19,EDP.LS,0.22549,0.02063,-1.028,0.22318
2020-03-19,EMSN.S,22.31229,0.68561,0.261,22.3706
2020-03-19,FORTUM.HE,1.50678,0.22507,0.86,1.51974
2020-03-19,RR.L,0.0894934,0.0224423,-11.715,0.0790096
