Date,RIC,Earnings Per Share - Mean,Earnings Per Share - Standard Deviation,Earnings Per Share - Predicted Surprise PCT,Earnings Per Share - SmartEstimate®
2024-02-16,HIAB.HE,4.55571,0.25729,-1.07,4.50695
2024-02-19,ITPG.MI,2.55129,0.22661,-1.261,2.51911
2024-02-23,EXPN.L,1.44936,0.01215,,
2024-02-29,HEIG.DE,11.09059,0.7434,3.245,11.4505
2024-02-29,KBX.DE,3.72479,0.19391,0.87,3.7572
2024-03-01,MWDP.PA1,11.66333,3.23092,-18.911,9.45773
2024-03-03,BYG.L,0.56296,0.0093366,,
2024-03-06,TUI1n.DE,1.0414,0.13363,-3.074,1.00939
2024-03-07,SSE.L,1.5752912,0.0471611,-1.618,1.5497988
2024-03-08,ELI.BR,4.68421,0.15158,0.65,4.71466
2024-03-11,TKAG.DE,0.42486,0.22588,-13.057,0.36939
2024-03-12,ASRNL.AS,5.51115,0.57966,-1.704,5.41723
2024-03-12,CPG.L,1.19687,0.02434,,
2024-03-12,EMSN.S,18.88686,0.66999,0.19,18.92281
2024-03-12,SFZN.S,3.44338,0.14163,-0.638,3.4214
2024-03-12,ASRNL.AS,5.51115,0.57966,,
2024-03-13,GL9.I,1.37027,0.04809,1.555,1.39158
2024-03-13,UMI.BR,1.56777,0.23189,-4.537,1.49664
2024-03-14,BKWB.S,8.2428,1.14879,,
2024-03-14,INPST.AS,1.63544,0.1491,0.88,1.64983
2024-03-14,RACE.MI,7.7153,0.27815,0.855,7.78124
2024-03-15,AAK.ST,11.57286,0.89126,1.922,11.79523
2024-03-15,BKWB.S,,,11.993,9.23133
2024-03-15,BMPS.MI,0.82567,0.09599,-0.402,0.82235
2024-03-15,SASY.PA,7.73191,0.31886,-0.83,7.66773
2024-03-15,SUBC.OL,0.87861,0.23925,5.436,0.92637
2024-03-16,EXPN.L,,,0.095,1.45073
2024-03-17,SHLG.DE,2.19381,0.10075,0.367,2.20185
2024-03-18,ENEI.MI,0.6731,0.01727,-0.546,0.66942
2024-03-18,GBLB.BR,5.423,3.39023,,
2024-03-18,ENEI.MI,0.64638,0.0162,-0.511,0.64308
2024-03-18,FORTUM.HE,1.112,0.09172,-2.518,1.084
2024-03-18,GBLB.BR,5.423,3.39023,-44.953,2.98522
2024-03-18,LGEN.L,0.2598846,0.0512805,-5.61,0.2453049
2024-03-18,LIGHT.AS,2.87773,0.28006,2.7,2.95543
2024-03-18,NSISb.CO,1.64174,0.24573,,
2024-03-18,SAMPO.HE,0.48093,0.0321,0.999,0.48573
2024-03-18,URW.PA,9.60173,0.52046,0.088,9.61018
2024-03-18,VIE.PA,2.05514,0.10688,-1.786,2.01843
2024-03-19,BIRG.I,1.52571,0.10499,-3.5,1.47231
2024-03-19,EDP.LS,0.304,0.01715,0.019,0.30406
2024-03-19,LPPP.WA,1134.22025,171.10617,-3.369,1096.00633
2024-03-19,MBGn.DE,11.88313,1.11868,0.853,11.98449
2024-03-19,NSISb.CO,,,-7.588,1.51716
2024-03-19,SDR.L,0.3393333,0.0221126,-2.172,0.331963
2024-03-19,UBSG.S,1.11088,0.27744,3.358,1.14818
2024-03-20,ADSGn.DE,2.91386,0.64505,-2.128,2.85186
2024-03-20,AIR.PA,6.6219,0.27535,0.281,6.64049
2024-03-20,BYG.L,,,0.041,0.5631886
2024-03-20,CPG.L,,,0.144,1.19859
2024-03-20,HNRGn.DE,18.07921,0.64109,0.533,18.17564
2024-03-20,LEGn.DE,5.92517,0.33263,-1.711,5.8238
2024-03-20,MONC.MI,2.41036,0.08531,1.908,2.45635
2024-03-20,PKO.WA,7.13444,1.02712,0.145,7.14476
2024-03-20,PRU.L,0.97787,0.14147,-3.173,0.94684
