Date,RIC,Earnings Per Share - Mean
2017-03-17,HOCM.L,0.103
2017-03-17,VATN.S,7.19725
2017-04-02,HOCM.L,0.10586
2017-04-11,HOCM.L,0.10243
2017-04-21,HOCM.L,0.11386
2017-04-27,HOCM.L,0.11529
2017-04-28,HOCM.L,0.11386
2017-04-28,BFT.WA,36.48
2017-05-03,VATN.S,7.19225
2017-05-04,VATN.S,7.32475
2017-05-05,HOCM.L,0.11343
2017-05-17,HOCM.L,0.112
2017-06-29,HOCM.L,0.10914
2017-06-30,HOCM.L,0.10629
2017-07-05,HOCM.L,0.10914
2017-07-07,HOCM.L,0.10843
2017-07-12,HOCM.L,0.11143
2017-07-14,HOCM.L,0.10714
2017-07-20,BFT.WA,36.7995
2017-08-03,HOCM.L,0.10629
2017-08-11,VATN.S,7.24475
2017-08-16,HOCM.L,0.10771
2017-08-17,HOCM.L,0.08729
2017-09-05,HOCM.L,0.08586
2017-09-07,HOCM.L,0.08017
2017-09-07,BFT.WA,35.3245
2017-09-12,BFT.WA,35.20967
2017-10-01,HOCM.L,0.0802
2017-10-04,HOCM.L,0.0742
2017-10-05,HOCM.L,0.0688
2017-10-06,HOCM.L,0.0728
2017-10-18,HOCM.L,0.0748
2017-10-18,PIRC.MI,0.35
2017-10-19,PIRC.MI,0.297
2017-10-24,HOCM.L,0.07467
2017-10-31,VATN.S,7.2938
2017-11-02,PIRC.MI,0.28467
2017-11-02,HOCM.L,0.073
2017-11-02,VATN.S,7.1898
2017-11-03,HOCM.L,0.07633
2017-11-03,VATN.S,7.205
2017-11-07,PIRC.MI,0.34467
2017-11-09,PIRC.MI,0.383
2017-11-10,PIRC.MI,0.38556
2017-11-13,PIRC.MI,0.38556
2017-11-16,PIRC.MI,0.38033
2017-11-16,HOCM.L,0.073
2017-11-17,PIRC.MI,0.39089
2017-11-22,BFT.WA,34.83
2017-12-13,HOCM.L,0.07083
2017-12-14,HOCM.L,0.06583
2017-12-15,HOCM.L,0.06929
2017-12-18,VATN.S,7.2675
2017-12-19,HOCM.L,0.06643
2018-01-03,HOCM.L,0.065
2018-01-04,HOCM.L,0.06357
2018-01-05,PIRC.MI,0.39089
2018-01-08,HOCM.L,0.06214
